,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, North Dakota,Fargo,11,Facilities Manager,"Director of Facilities - Relocation assistance to Yuma, AZ",Yuma Regional Medical Center,3.8,United States,"$110,000 - $150,000 a year",Not Remote
1, North Dakota,Fargo,11,Facilities Manager,Director of Facilities,CHI Living Communities - Riverview,,"Fargo, ND",Unknown,Not Remote
2, North Dakota,Fargo,11,Facilities Manager,Maintenance Supervisor,North Dakota State University,4.2,"Fargo, ND","$60,000 a year",Not Remote
3, North Dakota,Fargo,11,Facilities Manager,Maintenance Supervisor,Home2 Suites,3.4,"Fargo, ND",Unknown,Not Remote
0, North Dakota,Fargo,13,Business Operations Specialist,Labor Relations Specialist,Sanford Health,3.6,"Fargo, ND",Unknown,Not Remote
1, North Dakota,Fargo,13,Business Operations Specialist,Specialist III - Business Support,Florida Blue,4.0,United States,Unknown,Not Remote
2, North Dakota,Fargo,13,Business Operations Specialist,Research/Remediation Analyst 1 - Estate Care Center,Wells Fargo,3.7,"Fargo, ND",Unknown,Not Remote
3, North Dakota,Fargo,13,Business Operations Specialist,Management and Program Assistant,US Department of Transportation,4.1,"Fargo, ND","$46,782 - $70,176 a year",Not Remote
4, North Dakota,Fargo,13,Business Operations Specialist,Technical Specialist- Razor Tracking,Razor Consulting Solutions,2.5,"Fargo, ND",Unknown,Not Remote
5, North Dakota,Fargo,13,Business Operations Specialist,Presentation Specialist - Fargo & Moorhead,"Integreon Managed Solutions, Inc",3.2,"Fargo, ND",$15 - $16 an hour,Not Remote
6, North Dakota,Fargo,13,Business Operations Specialist,Digital Channel Specialist,Border States Electric,3.4,"Fargo, ND",Unknown,Not Remote
7, North Dakota,Fargo,13,Business Operations Specialist,"Sales Specialist - $45,000.00 Base + Commission (DOE)",Coca-Cola Bottling Company High Country,2.6,"Moorhead, MN",Unknown,Not Remote
8, North Dakota,Fargo,13,Business Operations Specialist,Logistics Specialist,"Insulation Distributors, Inc.",,"Fargo, ND",Unknown,Not Remote
9, North Dakota,Fargo,13,Business Operations Specialist,Payment Operations Specialist,Bushel,,"Fargo, ND",Unknown,Not Remote
10, North Dakota,Fargo,13,Business Operations Specialist,Route Sales Specialist,Bimbo Bakeries USA,3.3,"Moorhead, MN",Unknown,Not Remote
11, North Dakota,Fargo,13,Business Operations Specialist,Audio Visual Operations Manager + Producer,FlintGroup,2.3,"Fargo, ND",Unknown,Not Remote
