,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Ohio,Columbus,11,Facilities Manager,Director of Maintenance Operations,"RL Property Management Group, Inc.",,"Columbus, OH","$60,000 - $80,000 a year",Not Remote
1, Ohio,Columbus,11,Facilities Manager,Maintenance Supervisor,Link Real Estate Group,1.0,"Columbus, OH",Unknown,Not Remote
2, Ohio,Columbus,11,Facilities Manager,Assistant Director of Maintenance,"ELP Property Management, LLC",,"Columbus, OH",$18 an hour,Not Remote
3, Ohio,Columbus,11,Facilities Manager,Maintenance Supervisor,Trilogy Residential Management,4.8,"Columbus, OH",Unknown,Not Remote
4, Ohio,Columbus,11,Facilities Manager,"Manager, Facilities",Spectrum,3.4,"Columbus, OH",Unknown,Not Remote
5, Ohio,Columbus,11,Facilities Manager,Facilities Assistant Shift Manager,Hollywood Casino at Columbus,3.5,"Columbus, OH",Unknown,Not Remote
6, Ohio,Columbus,11,Facilities Manager,Regional Facilities Manager,BrightView Health,3.5,"Columbus, OH",Unknown,Not Remote
7, Ohio,Columbus,11,Facilities Manager,Director of Maintenance Operations,"RL Property Management Group, Inc.",,"Columbus, OH","$60,000 - $80,000 a year",Not Remote
8, Ohio,Columbus,11,Facilities Manager,Recreation Facilities Coordinator,City of Upper Arlington,3.8,"Upper Arlington, OH",$13.73 - $15.90 an hour,Not Remote
9, Ohio,Columbus,11,Facilities Manager,Maintenance Manager,Cleveland-Cliffs Columbus Coatings,,"Columbus, OH",Unknown,Not Remote
10, Ohio,Columbus,11,Facilities Manager,"Manager, Facility Services","Americold Logistics, LLC",3.1,"Columbus, OH",Unknown,Not Remote
11, Ohio,Columbus,11,Facilities Manager,Maintenance Planner and Spares,Cleveland Cliffs,3.0,"Columbus, OH",Unknown,Not Remote
12, Ohio,Columbus,11,Facilities Manager,Building Manager,Port Logistics Group Inc,3.3,"Grove City, OH",Unknown,Not Remote
13, Ohio,Columbus,11,Facilities Manager,Maintenance Manager,LAZ Parking,3.6,"Columbus, OH",Unknown,Not Remote
14, Ohio,Columbus,11,Facilities Manager,Facility Operations Supervisor,Life Time,3.5,"Columbus, OH",Unknown,Not Remote
15, Ohio,Columbus,11,Facilities Manager,Assistant Director of Maintenance,"ELP Property Management, LLC",,"Columbus, OH",$18 an hour,Not Remote
16, Ohio,Columbus,11,Facilities Manager,Manufacturing Maintenance Supervisor,AkzoNobel,3.9,"Columbus, OH",Unknown,Not Remote
17, Ohio,Columbus,11,Facilities Manager,Maintenance Coordinator,Circle K,3.3,"Hilliard, OH",Unknown,Not Remote
18, Ohio,Columbus,11,Facilities Manager,"Manager, Facility Services","Americold Logistics, LLC",3.1,"Columbus, OH",Unknown,Not Remote
19, Ohio,Columbus,11,Facilities Manager,Maintenance Supervisor - Polaris Fashion Place,Washington Prime Group,3.2,"Columbus, OH",Unknown,Not Remote
20, Ohio,Columbus,11,Facilities Manager,Maintenance Supervisor,Trilogy Residential Management,4.8,"Columbus, OH",Unknown,Not Remote
21, Ohio,Columbus,11,Facilities Manager,Maintenance Supervisor,Homestead Companies,,"Columbus, OH",Unknown,Not Remote
22, Ohio,Columbus,11,Facilities Manager,Maintenance Supervisor,Homestead Companies,,"Grove City, OH",Unknown,Not Remote
23, Ohio,Columbus,11,Facilities Manager,Maintenance Director,Wallick Communities,3.2,"Hilliard, OH",Unknown,Not Remote
24, Ohio,Columbus,11,Facilities Manager,Maintenance Supervisor,The Life Properties,3.2,"Columbus, OH",Unknown,Not Remote
25, Ohio,Columbus,11,Facilities Manager,Maintenance Supervisor,"Nolan Real Estate Services, Inc",,"Hilliard, OH",$25 - $28 an hour,Not Remote
26, Ohio,Columbus,11,Facilities Manager,Maintenance Supervisor,The Life Properties,3.2,"Columbus, OH",Unknown,Not Remote
27, Ohio,Columbus,11,Facilities Manager,Apartment Maintenance Supervisor,Occupancy Heroes Incorporated,3.4,"Columbus, OH",Unknown,Not Remote
28, Ohio,Columbus,11,Facilities Manager,Chief Engineer,AC Hotel by Marriott Columbus,,"Columbus, OH","$56,234 - $67,481 a year",Not Remote
29, Ohio,Columbus,11,Facilities Manager,Maintenance Supervisor,"Arlington Properties, Inc.",4.4,"Columbus, OH",Unknown,Not Remote
30, Ohio,Columbus,11,Facilities Manager,Maintenance Supervisor (500+ Units),The Life Properties,3.2,"Columbus, OH",Unknown,Not Remote
31, Ohio,Columbus,11,Facilities Manager,Maintenance Supervisor (500+ Units),The Life Properties,3.2,"Columbus, OH",Unknown,Not Remote
32, Ohio,Columbus,11,Facilities Manager,Maintenance Manager,LAZ Parking,3.6,"Columbus, OH",Unknown,Not Remote
0, Ohio,Columbus,11,Funeral Home Managers,Multi-Location Manager/Licensed Funeral Director,Brandon G. Thompson Funeral Home,,United States,"$75,000 - $110,000 a year",Not Remote
1, Ohio,Columbus,11,Funeral Home Managers,Sales Manager,Forest Lawn Memorial Gardens,,"Columbus, OH","$67,000 - $95,000 a year",Not Remote
2, Ohio,Columbus,11,Funeral Home Managers,Manager of Tissue and Eye Recovery,Lifeline of Ohio Organ Procurement Inc,,"Columbus, OH",Unknown,Not Remote
3, Ohio,Columbus,11,Funeral Home Managers,Sales Manager,"SCI Shared Resources, LLC",3.1,"Hilliard, OH",Unknown,Not Remote
4, Ohio,Columbus,11,Funeral Home Managers,Sales Manager II,"SCI Shared Resources, LLC",3.1,"Columbus, OH",Unknown,Not Remote
0, Ohio,Columbus,11,Manager,Production Manager,Painter1 of Columbus,,"Columbus, OH","$40,000 a year",Not Remote
1, Ohio,Columbus,11,Manager,Case Manager - Behavioral Health,"North Central Mental Health Services, Inc.",3.3,"Columbus, OH",$15.00 - $22.75 an hour,Not Remote
2, Ohio,Columbus,11,Manager,Assistant Store Manager,Cheryl's Cookies,3.9,"Columbus, OH",Unknown,Not Remote
3, Ohio,Columbus,11,Manager,"Manager, School Counseling Services",ACCEL Schools,2.5,"Columbus, OH",Unknown,Not Remote
4, Ohio,Columbus,11,Manager,General Manager - Looking for a new challenge?,The Connor Group,4.2,"Columbus, OH","$70,000 - $110,000 a year",Not Remote
5, Ohio,Columbus,11,Manager,store manager,Starbucks,4.0,"Columbus, OH",Unknown,Not Remote
6, Ohio,Columbus,11,Manager,Restaurant Assistant Manager,Ampler Burgers OH,,"Columbus, OH","$25,000 - $35,000 a year",Not Remote
7, Ohio,Columbus,11,Manager,Dock Manager,Day & Ross Inc.,3.3,"Columbus, OH",Unknown,Not Remote
8, Ohio,Columbus,11,Manager,Event Venue Operations Manager,Together & Company,4.6,"Columbus, OH",Unknown,Not Remote
9, Ohio,Columbus,11,Manager,Region Recycling Manager,Rumpke,3.0,"Columbus, OH",Unknown,Not Remote
10, Ohio,Columbus,11,Manager,Production Manager Four Seasons Sunrooms,"US Home Center, LLC",,"Columbus, OH","$45,000 - $75,000 a year",Not Remote
11, Ohio,Columbus,11,Manager,Vulnerable Youth Programs Manager,State of Ohio Jobs,3.8,"Columbus, OH","Up to $80,000 a year",Not Remote
12, Ohio,Columbus,11,Manager,Manager of Reimbursement,Ohio State University Medical Center,4.2,"Columbus, OH","$84,500 - $130,975 a year",Temporarily remote
13, Ohio,Columbus,11,Manager,Manager-Operations,The Ohio State University,4.2,"Columbus, OH",Unknown,Not Remote
14, Ohio,Columbus,11,Manager,Manager Business Operations,Iscientiaus,,"Reynoldsburg, OH",$35 - $40 an hour,Not Remote
15, Ohio,Columbus,11,Manager,Regional Manager,Storage Rentals of America,3.2,"Columbus, OH",Unknown,Not Remote
