,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Ohio,Columbus,19,Historians,"Assistant Director, Historic Preservation",German Village Society,,"Columbus, OH",Unknown,Not Remote
0, Ohio,Columbus,19,Medical Scientists,Clinical Research Associate (CRA) - Northeast,PAREXEL,3.7,"Grove City, OH",Unknown,Not Remote
1, Ohio,Columbus,19,Medical Scientists,Senior Scientist (ADME-PK),Glaukos Corporation,4.2,United States,Unknown,Temporarily remote
2, Ohio,Columbus,19,Medical Scientists,"Virology scientist (Rochester, MN)",Imanis Life Sciences,,Ohio,"From $65,000 a year",Temporarily remote
3, Ohio,Columbus,19,Medical Scientists,Epidemiologist (Vacancy),City of Columbus,,"Columbus, OH",Unknown,Not Remote
4, Ohio,Columbus,19,Medical Scientists,Administrative Support III - Biopathology Center (Research),Nationwide Children's Hospital,4.0,"Columbus, OH",Unknown,Not Remote
5, Ohio,Columbus,19,Medical Scientists,Administrative Support II - Center for Clinical and Translational Research,Nationwide Children's Hospital,4.0,"Columbus, OH",Unknown,Not Remote
6, Ohio,Columbus,19,Medical Scientists,IGM - Research Assistant,Nationwide Children's Hospital,4.0,"Columbus, OH",Unknown,Not Remote
7, Ohio,Columbus,19,Medical Scientists,"Contract Sr. CRA, Medical Device (Central US) - RSS",IQVIA,3.8,"Columbus, OH",Unknown,Not Remote
8, Ohio,Columbus,19,Medical Scientists,Regulatory Specialist - Regulatory Affairs Administration - The Office of Research Regulatory Affairs (ORRA),Nationwide Children's Hospital,4.0,"Columbus, OH",Unknown,Not Remote
9, Ohio,Columbus,19,Medical Scientists,MT/MLT Microbiology,Mount Carmel Health System,3.5,"Columbus, OH",Unknown,Not Remote
10, Ohio,Columbus,19,Medical Scientists,Clinical Research Assistant,The Ohio State University,4.2,"Columbus, OH",Unknown,Not Remote
11, Ohio,Columbus,19,Medical Scientists,IGM - Research Assistant - Rajappa Lab,Nationwide Children's Hospital,4.0,"Columbus, OH",Unknown,Not Remote
12, Ohio,Columbus,19,Medical Scientists,Research Assistant 2-B/H - SBS-Biolog Chem & Pharmacology,The Ohio State University,4.2,"Columbus, OH",Unknown,Not Remote
13, Ohio,Columbus,19,Medical Scientists,"Epidemiology Investigator 3: SAS Expert & Data-Focused Lead Worker, HIV/STI/HEP (PN 20013568)",State of Ohio Jobs,3.8,"Columbus, OH",$27.96 an hour,Not Remote
14, Ohio,Columbus,19,Medical Scientists,Senior Research Associate - Center for Clinical and Translational Research (Smoyer),Nationwide Children's Hospital,4.0,"Columbus, OH",Unknown,Not Remote
15, Ohio,Columbus,19,Medical Scientists,Fellow MD-Medical Genetics,Nationwide Children's Hospital,4.0,"Columbus, OH",Unknown,Not Remote
16, Ohio,Columbus,19,Medical Scientists,"Inhalation Toxicologist, Life Science Researcher III",Level D&I Solutions,,"Columbus, OH","$73,000 - $104,000 a year",Not Remote
17, Ohio,Columbus,19,Medical Scientists,Laboratory Technician,DispatchHealth Management,,"Columbus, OH",Unknown,Not Remote
18, Ohio,Columbus,19,Medical Scientists,RN Clinical Research Specialist - (R1932),Ohio State University Medical Center,4.2,"Columbus, OH","$54,800 - $68,000 a year",Not Remote
19, Ohio,Columbus,19,Medical Scientists,Special Chemistry Technical Specialist - Core Lab,Nationwide Children's Hospital,4.0,"Columbus, OH",Unknown,Not Remote
20, Ohio,Columbus,19,Medical Scientists,IGM - Post Doctoral Scientist Year - Hester Lab,Nationwide Children's Hospital,4.0,"Columbus, OH",Unknown,Not Remote
21, Ohio,Columbus,19,Medical Scientists,Senior Clinical Research Associate,Lipella Pharmaceuticals Inc,,Ohio,"$75,000 - $120,000 a year",Not Remote
0, Ohio,Columbus,19,Food Scientist,Product Development Scientist - Pediatric and Medical Nutritional products,"Metabyte, Inc",3.8,"Columbus, OH",Unknown,Not Remote
1, Ohio,Columbus,19,Food Scientist,Associate Scientist (Food Science / Nutrition),RCI,,"Columbus, OH",$18 - $25 an hour,Not Remote
2, Ohio,Columbus,19,Food Scientist,"Scientist, Sensory and Consumer Research - Nutrition - Columbus, OH",Abbott Laboratories,4.0,"Columbus, OH",Unknown,Not Remote
3, Ohio,Columbus,19,Food Scientist,Sourcing Engineer,Mettler Toledo,3.6,"Worthington, OH",Unknown,Not Remote
4, Ohio,Columbus,19,Food Scientist,"Research Scientist - Global Analytical and Food Safety, Nutrients and Bioanalytical (Vitamins) - Nutrition - Columbus, OH",Abbott Laboratories,4.0,"Columbus, OH",Unknown,Not Remote
5, Ohio,Columbus,19,Food Scientist,Telemarketing Specialist,MT - Huntley Road,,"Columbus, OH",Unknown,Not Remote
6, Ohio,Columbus,19,Food Scientist,Welder (2nd Shift),MT - Huntley Road,,"Columbus, OH",Unknown,Not Remote
7, Ohio,Columbus,19,Food Scientist,Plasma Operator,MT - Huntley Road,,"Columbus, OH",Unknown,Not Remote
0, Ohio,Columbus,19,Wildlife Biologists,Wildlife / Pest Control Specialist,"Propestmen of Ohio, Inc",,"Columbus, OH","$45,000 - $55,000 a year",Not Remote
1, Ohio,Columbus,19,Wildlife Biologists,Wildlife / Pest Control Specialist,"Propestmen of Ohio, Inc",,"Columbus, OH","$45,000 - $55,000 a year",Not Remote
0, Ohio,Columbus,21,Counselor,Independently Licensed MH/AoD Counselor,WCAP Counseling,,"Reynoldsburg, OH","$55,000 - $65,000 a year",Not Remote
1, Ohio,Columbus,21,Counselor,Office-Based Therapist,National Youth Advocate Program,3.6,"Columbus, OH",Unknown,Not Remote
2, Ohio,Columbus,21,Counselor,Assessment Clinician,Freedom Recovery,,"Columbus, OH",$20 - $30 an hour,Not Remote
3, Ohio,Columbus,21,Counselor,Licensed Professional Clinical Counselor,APEX COUNSELING SERVICES,3.8,"Gahanna, OH","$50,000 - $68,000 a year",Temporarily remote
4, Ohio,Columbus,21,Counselor,Office/Telehealth Mental Health Counselor,"Mid-Ohio Psychological Services, Inc.",,"Columbus, OH",$15 - $17 an hour,Temporarily remote
5, Ohio,Columbus,21,Counselor,Clinician - Community Based,"The Buckeye Ranch, Inc",3.3,"Whitehall, OH",Unknown,Not Remote
6, Ohio,Columbus,21,Counselor,Chemical Dependency Counselor,Life Spring Recovery,3.3,"Columbus, OH",$15 - $20 an hour,Not Remote
7, Ohio,Columbus,21,Counselor,Activities Therapist,RiverVista Health & Wellness,,"Columbus, OH",Unknown,Not Remote
8, Ohio,Columbus,21,Counselor,Office/Telehealth Mental Health Counselor,"Mid-Ohio Psychological Services, Inc.",,"Columbus, OH",$15 - $17 an hour,Temporarily remote
9, Ohio,Columbus,21,Counselor,Family Advocacy Clinician I - Intake Resource Coordinator,Nationwide Children's Hospital,4.0,"Columbus, OH",Unknown,Not Remote
10, Ohio,Columbus,21,Counselor,LISW/LPCC,Highland Community Learning Center,,"Columbus, OH",Unknown,Not Remote
11, Ohio,Columbus,21,Counselor,Licensed Counselor or Social Worker,Integrated Services for Behavioral Health,,"Columbus, OH","$44,876 - $65,023 a year",Not Remote
12, Ohio,Columbus,21,Counselor,Activities Therapist,OhioHealth,3.8,"Columbus, OH",Unknown,Not Remote
13, Ohio,Columbus,21,Counselor,"Human Services Program Consultant, Ohio HIV Drug Assistance Program (OHDAP) (TWO [2] VACANCIES: PN20013862 & PN20014270)",State of Ohio Jobs,3.8,"Columbus, OH",$26.47 an hour,Not Remote
14, Ohio,Columbus,21,Counselor,Clinical Program Manager,OhioHealth,3.8,"Columbus, OH",Unknown,Not Remote
15, Ohio,Columbus,21,Counselor,"Entry Level Behavior Therapist (Columbus, OH)",Trumpet Behavioral Health,,"Columbus, OH",$14 - $18 an hour,Not Remote
16, Ohio,Columbus,21,Counselor,Financial Counselor,American Oncology Network,2.5,"Columbus, OH",Unknown,Not Remote
17, Ohio,Columbus,21,Counselor,Telephone Counselor (Remote - US),Morneau Shepell,3.0,"Columbus, OH",Unknown,Not Remote
18, Ohio,Columbus,21,Counselor,Provisional Clinical Supervisor/Vaccine Clinic/Blom Administrative Campus,OhioHealth,3.8,"Columbus, OH",Unknown,Not Remote
19, Ohio,Columbus,21,Counselor,Alcohol and Drug Addiction Services Counselor (Vacancies),City of Columbus,,"Columbus, OH",Unknown,Not Remote
20, Ohio,Columbus,21,Counselor,Child therapist,Directions Counseling Group,,"Worthington, OH",$70 - $90 an hour,Remote
21, Ohio,Columbus,21,Counselor,Office-Based Therapist,National Youth Advocate Program,3.6,"Columbus, OH",Unknown,Not Remote
22, Ohio,Columbus,21,Counselor,Substance Abuse Counselor/Case Manager,Columbus Suboxone Doctors,,"Columbus, OH",From $15 an hour,Not Remote
23, Ohio,Columbus,21,Counselor,Chemical Dependency Counselor (CDCA) Needed Immediately,ASUR Supported Living Services,,"Columbus, OH",$18 - $22 an hour,Not Remote
24, Ohio,Columbus,21,Counselor,Counselor/Social Worker (LISW/LPCC),Lighthouse Christian Services,,"Columbus, OH",Unknown,Not Remote
25, Ohio,Columbus,21,Counselor,Assessment Clinician,Freedom Recovery,,"Columbus, OH",$20 - $30 an hour,Not Remote
26, Ohio,Columbus,21,Counselor,Counselor III - Engagement Specialist,"MARYHAVEN, INC",3.1,"Columbus, OH",Unknown,Not Remote
27, Ohio,Columbus,21,Counselor,LICDC / LCDC / CDCA,CRN Healthcare Inc,,"Columbus, OH",$13 - $34 an hour,Not Remote
28, Ohio,Columbus,21,Counselor,Clinical Counselor - Psychotherapist,Gestalt Columbus,,"Columbus, OH",$50 - $80 an hour,Not Remote
29, Ohio,Columbus,21,Counselor,Clinical Therapist,The Ohio State University,4.2,"Columbus, OH",Unknown,Not Remote
30, Ohio,Columbus,21,Counselor,Admissions Counselor,Cascade Behavioral Hospital,3.1,"Columbus, OH",From $23 an hour,Not Remote
31, Ohio,Columbus,21,Counselor,Office-Based Therapist,National Youth Advocate Program,3.6,"Columbus, OH",Unknown,Not Remote
32, Ohio,Columbus,21,Counselor,Patient Access Lead - BHP,Nationwide Children's Hospital,4.0,"Columbus, OH",Unknown,Not Remote
33, Ohio,Columbus,21,Counselor,Community-Based Therapist,National Youth Advocate Program,3.6,"Columbus, OH",Unknown,Not Remote
34, Ohio,Columbus,21,Counselor,Counselor III - Outpatient Marion,"MARYHAVEN, INC",3.1,"Columbus, OH",Unknown,Not Remote
35, Ohio,Columbus,21,Counselor,Entry Level Behavior Therapist – Essential Worker,Autism Learning Partners,3.1,"Columbus, OH",Unknown,Not Remote
36, Ohio,Columbus,21,Counselor,Licensed Professional Counselor,Christian Therapist On Demand,,"Columbus, OH","$1,200 - $5,500 a month",Remote
37, Ohio,Columbus,21,Counselor,Licensed Counselor (Part and Full-Time Options),LifeStance Health,3.8,"Columbus, OH","From $90,000 a year",Temporarily remote
38, Ohio,Columbus,21,Counselor,BH Community Based Therapist I- Home Based,Nationwide Children's Hospital,4.0,"Columbus, OH",Unknown,Not Remote
39, Ohio,Columbus,21,Counselor,"Independent Clinician ED, Riverside ED, FT 36 hours per week",OhioHealth,3.8,"Columbus, OH",Unknown,Not Remote
40, Ohio,Columbus,21,Counselor,Clinical Therapist,The Village Network,3.0,"Columbus, OH",Unknown,Not Remote
41, Ohio,Columbus,21,Counselor,Therapist - Office Based,National Youth Advocate Program,3.6,"Columbus, OH",Unknown,Not Remote
42, Ohio,Columbus,21,Counselor,"Licecensed Therapist (LPC, LMSW)",A1 Active Lifestyle Services LLC,,"Columbus, OH",$25 - $35 an hour,Remote
43, Ohio,Columbus,21,Counselor,Clinical Therapist,The Ohio State University,4.2,"Columbus, OH",Unknown,Not Remote
44, Ohio,Columbus,21,Counselor,Marriage and Family Therapist Trainee (MFT-T),Infinite Transformations Counseling,,"Columbus, OH",$9 - $40 an hour,Temporarily remote
45, Ohio,Columbus,21,Counselor,Clinical Scheduling and Staffing Manager,OFFOR Health / SmileMD,,"Columbus, OH",Unknown,Not Remote
46, Ohio,Columbus,21,Counselor,"Licensed School Based Therapist LSW, LPC, LISW, LPCC",North Community Counseling Centers Inc,2.9,"Columbus, OH",Unknown,Not Remote
47, Ohio,Columbus,21,Counselor,Community-Based Therapist,National Youth Advocate Program,3.6,"Columbus, OH",Unknown,Not Remote
48, Ohio,Columbus,21,Counselor,Independently Licensed MH/AoD Counselor,WCAP Counseling,,"Reynoldsburg, OH","$55,000 - $65,000 a year",Not Remote
49, Ohio,Columbus,21,Counselor,"LICDC, LCDC, LSW, LPC, LPCC, LISW, CDCA",Basecamp Recovery Center LLC,,"Columbus, OH",Unknown,Not Remote
50, Ohio,Columbus,21,Counselor,Licensed Professional Clinical Counselor,LifeStance Health,3.8,"Columbus, OH",$36 - $52 an hour,Temporarily remote
51, Ohio,Columbus,21,Counselor,Crisis Clinician,"I Am Boundless, Inc.",3.0,"Worthington, OH",Unknown,Not Remote
52, Ohio,Columbus,21,Counselor,"Licensed Therapist / Counselor (LISW, LISW-S, LIMFT, LPCC, LPCC-S)",Monument,5.0,"Columbus, OH",Unknown,Remote
53, Ohio,Columbus,21,Counselor,Office-Based Therapist,National Youth Advocate Program,3.6,"Columbus, OH",Unknown,Not Remote
54, Ohio,Columbus,21,Counselor,Licensed Professional Clinical Counselor,APEX COUNSELING SERVICES,3.8,"Gahanna, OH","$50,000 - $68,000 a year",Temporarily remote
55, Ohio,Columbus,21,Counselor,BH Outpatient Therapist- Reynoldsburg Branch,Nationwide Children's Hospital,4.0,"Columbus, OH",Unknown,Not Remote
56, Ohio,Columbus,21,Counselor,Licensed Professional Clinical Counselor,LifeStance Health,3.8,"Columbus, OH",$36 - $52 an hour,Temporarily remote
57, Ohio,Columbus,21,Counselor,Telehealth Mental Health Counselor,"Mid-Ohio Psychological Services, Inc.",,"Columbus, OH",$15 - $17 an hour,Remote
0, Ohio,Columbus,21,Probation Officers ,Risk Reduction Probation Officer,Franklin County Court of Common Pleas,3.6,"Columbus, OH","$52,439 a year",Not Remote
0, Ohio,Columbus,31,Psychiatric Aides,68X Mental Health Specialist,Army National Guard,4.4,"Columbus, OH",Unknown,Not Remote
1, Ohio,Columbus,31,Psychiatric Aides,68X Mental Health Specialist,Army National Guard,4.4,"Columbus, OH",Unknown,Not Remote
2, Ohio,Columbus,31,Psychiatric Aides,68X Mental Health Specialist,Army National Guard,4.4,"Columbus, OH",Unknown,Not Remote
0, Ohio,Columbus,31,Physical Therapist Assistants ,Physical Therapist Assistant,"PHYSICAL THERAPY CARE, CLOVIS, NM",,United States,$19 - $30 an hour,Not Remote
1, Ohio,Columbus,31,Physical Therapist Assistants ,Physical Therapy Assistant (PTA),The Laurels of Walden Park,3.4,"Columbus, OH",Unknown,Not Remote
0, Ohio,Columbus,31,Occupational Therapy and Physical Therapist Assistants ,Physical Therapist,Ohio Living Home Health & Hospice - Greater Columb...,3.6,"Columbus, OH",Unknown,Not Remote
1, Ohio,Columbus,31,Occupational Therapy and Physical Therapist Assistants ,State Tested Nursing Assistant (STNA),Summit's Trace Healthcare Center,1.8,"Columbus, OH",Unknown,Not Remote
0, Ohio,Columbus,33,Protective Service Workers,R1332 Utility Gas Leak Technician $13/hour,Bermex,,"Columbus, OH",From $13 an hour,Not Remote
1, Ohio,Columbus,33,Protective Service Workers,Mowing Crew Leader,Wood Landscape Services Ltd.,,"Columbus, OH",$12 - $16 an hour,Not Remote
2, Ohio,Columbus,33,Protective Service Workers,Showroom Sales Assistant,Bathworks,,"Columbus, OH",$14 - $16 an hour,Not Remote
3, Ohio,Columbus,33,Protective Service Workers,Landscape Foreman,Wood Landscape Services Ltd.,,"Columbus, OH",$12 - $17 an hour,Not Remote
4, Ohio,Columbus,33,Protective Service Workers,R1379 Utility Shut Off Notifier $13+/Hour,Bermex,,"Columbus, OH",From $13 an hour,Not Remote
5, Ohio,Columbus,33,Protective Service Workers,Server / Bartender / Host,Thunderdome Restaurant Group - The Eagle,,"Columbus, OH",From $7.25 an hour,Not Remote
6, Ohio,Columbus,33,Protective Service Workers,R1358 Utility Service Technician,Bermex,,"Columbus, OH",From $13.50 an hour,Not Remote
7, Ohio,Columbus,33,Protective Service Workers,Sanitation,G&J Pepsi-Cola Bottlers,3.3,"Columbus, OH",Unknown,Not Remote
8, Ohio,Columbus,33,Protective Service Workers,Graphic Production Associate - Sign Shop Experience,Franklin Imaging,,"Columbus, OH",From $16 an hour,Not Remote
