,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Oklahoma,Oklahoma City,11,Facilities Manager,Facility Manager,Stericycle,3.2,"Oklahoma City, OK",Unknown,Not Remote
1, Oklahoma,Oklahoma City,11,Facilities Manager,Maintenance Director (exempt),Embark | Eclipse Senior Living,,"Oklahoma City, OK",Unknown,Not Remote
2, Oklahoma,Oklahoma City,11,Facilities Manager,Facilities Coordinator,APMEX,3.4,"Oklahoma City, OK",Unknown,Not Remote
3, Oklahoma,Oklahoma City,11,Facilities Manager,Area Facilities Manager,Zips Car Wash,2.9,"Oklahoma City, OK","$47,000 - $60,000 a year",Not Remote
4, Oklahoma,Oklahoma City,11,Facilities Manager,Director-Plant Operation and Maintenance: St. Anthony Hospital - Midwest,SSM Health,3.6,"Midwest City, OK",Unknown,Not Remote
5, Oklahoma,Oklahoma City,11,Facilities Manager,Maintenance Manager (Production),Coca-Cola Southwest Bev,,"Oklahoma City, OK",Unknown,Not Remote
6, Oklahoma,Oklahoma City,11,Facilities Manager,Maintenance Manager,Price Edwards & Company,4.7,"Oklahoma City, OK",Unknown,Not Remote
7, Oklahoma,Oklahoma City,11,Facilities Manager,Maintenance Director,Elmcroft | Eclipse Senior Living,3.0,"The Village, OK",Unknown,Not Remote
8, Oklahoma,Oklahoma City,11,Facilities Manager,Service Manager,Weidner Apartment Homes,3.5,"Oklahoma City, OK","From $46,000 a year",Not Remote
9, Oklahoma,Oklahoma City,11,Facilities Manager,Chief Engineer (Critical Environments),JLL,3.7,"Oklahoma City, OK",Unknown,Not Remote
10, Oklahoma,Oklahoma City,11,Facilities Manager,Contract Maintenance Manager,J&J Worldwide Services,3.3,"Oklahoma City, OK",Unknown,Not Remote
11, Oklahoma,Oklahoma City,11,Facilities Manager,Technical Facility Manager/Supervisor,Round1,2.9,"Oklahoma City, OK",$15 - $24 an hour,Not Remote
12, Oklahoma,Oklahoma City,11,Facilities Manager,Maintenance Director (exempt),Embark | Eclipse Senior Living,,"Oklahoma City, OK",Unknown,Not Remote
13, Oklahoma,Oklahoma City,11,Facilities Manager,Housekeeping Supervisor- up to $17.51/hr,Sodexo,3.7,"Oklahoma City, OK",Up to $17.51 an hour,Not Remote
14, Oklahoma,Oklahoma City,11,Facilities Manager,Maintenance Supervisor,zz-PaulsCorp LLC,,"Oklahoma City, OK",Unknown,Not Remote
15, Oklahoma,Oklahoma City,11,Facilities Manager,Maintenance Administrator,"Substancia Asset Management Group, LLC",,"Oklahoma City, OK",$14 - $16 an hour,Not Remote
16, Oklahoma,Oklahoma City,11,Facilities Manager,Maintenance Superintendent - Nottingham Square,The Michaels Organization,3.4,"Oklahoma City, OK",Unknown,Not Remote
17, Oklahoma,Oklahoma City,11,Facilities Manager,Maintenance Superintendent,The Michaels Organization,3.4,"Moore, OK",Unknown,Not Remote
18, Oklahoma,Oklahoma City,11,Facilities Manager,"Senior Maintenance Manager - Relocate to Kansas City, KS",Elite Line Services,2.9,United States,"$138,000 - $145,000 a year",Not Remote
0, Oklahoma,Oklahoma City,11,Funeral Home Managers,MGR Funeral Home,"SCI Shared Resources, LLC",3.1,"Del City, OK",Unknown,Not Remote
1, Oklahoma,Oklahoma City,11,Funeral Home Managers,General Laborer Cemetery Operations,"SCI Shared Resources, LLC",3.1,"Oklahoma City, OK",Unknown,Not Remote
2, Oklahoma,Oklahoma City,11,Funeral Home Managers,Community Outreach Manager,Aftermath Services,2.4,"Oklahoma City, OK",Unknown,Not Remote
0, Oklahoma,Oklahoma City,11,Manager,Shift Supervisor - 1204 NW 17TH ST.,Braum's,3.6,"Oklahoma City, OK","$34,500 - $36,000 a year",Not Remote
1, Oklahoma,Oklahoma City,11,Manager,General Manager,Ulta Beauty,3.4,"Oklahoma City, OK",Unknown,Not Remote
2, Oklahoma,Oklahoma City,11,Manager,Assistant Restaurant Manager - Vast Restaurant,Coury Hospitality,,"Oklahoma City, OK",Unknown,Not Remote
3, Oklahoma,Oklahoma City,11,Manager,Estimator/Project Manager,McCormick Excavation And Paving LLC,,"Oklahoma City, OK","$65,000 - $95,000 a year",Not Remote
4, Oklahoma,Oklahoma City,11,Manager,Manager- Inpatient Care Management (RN),Mercy,3.6,"Oklahoma City, OK",Unknown,Not Remote
5, Oklahoma,Oklahoma City,11,Manager,Market Growth Manager,ArchWell Health,,"Oklahoma City, OK",Unknown,Remote
6, Oklahoma,Oklahoma City,11,Manager,"Manager, Customer Service",Oklahoma Complete Health,3.2,"Oklahoma City, OK",Unknown,Not Remote
7, Oklahoma,Oklahoma City,11,Manager,District Manager,Public Storage,2.9,"Oklahoma City, OK","$117,000 a year",Not Remote
8, Oklahoma,Oklahoma City,11,Manager,"Operations Manager - Oklahoma City, OK",Amazon.com Services LLC,3.6,"Oklahoma City, OK",Unknown,Not Remote
9, Oklahoma,Oklahoma City,11,Manager,Project Manager,Rural Sourcing Inc.,,"Oklahoma City, OK",Unknown,Not Remote
10, Oklahoma,Oklahoma City,11,Manager,Regional Training Manager,ModivCare,,"Oklahoma City, OK","$63,765 - $98,100 a year",Not Remote
11, Oklahoma,Oklahoma City,11,Manager,Shop Manager,See's Candies,4.3,"Oklahoma City, OK",$21 an hour,Not Remote
12, Oklahoma,Oklahoma City,11,Manager,Apartment Manager / Make Ready,Property Management Services Inc.,,"Oklahoma City, OK","$28,800 - $54,000 a year",Not Remote
13, Oklahoma,Oklahoma City,11,Manager,Cafe Manager,Barnes & Noble,3.8,"Oklahoma City, OK",Unknown,Not Remote
14, Oklahoma,Oklahoma City,11,Manager,Quality Manager,"DeWolff, Boberg & Associates",3.1,"Oklahoma City, OK",Unknown,Not Remote
15, Oklahoma,Oklahoma City,11,Manager,Operations Manager,Powerforce Inc.,,"Oklahoma City, OK","$3,200 a month",Temporarily remote
16, Oklahoma,Oklahoma City,11,Manager,CS - Customer Service Manager (OKC),Atlantic Aviation,3.5,"Oklahoma City, OK",Unknown,Not Remote
17, Oklahoma,Oklahoma City,11,Manager,"Manager, Customer Service",Oklahoma Complete Health,3.2,"Oklahoma City, OK",Unknown,Not Remote
18, Oklahoma,Oklahoma City,11,Manager,Prevention Program Manager,Department of Mental Health and Substance Abuse Se...,,"Oklahoma City, OK",Unknown,Not Remote
19, Oklahoma,Oklahoma City,11,Manager,Project Management Office Manager,Tinker Federal Credit Union,4.1,"Oklahoma City, OK","$100,000 - $125,856 a year",Not Remote
20, Oklahoma,Oklahoma City,11,Manager,Warehouse Manager,Helbiz,,"Oklahoma City, OK","$35,000 - $60,000 a year",Not Remote
21, Oklahoma,Oklahoma City,11,Manager,Store Manager,Aeropostale,3.7,"Oklahoma City, OK",Unknown,Not Remote
