,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Oklahoma,Oklahoma City,29,Therapists,Licensed Clinical Social Worker,Millennium Medical Services,,"Oklahoma City, OK",$35 - $55 an hour,Not Remote
1, Oklahoma,Oklahoma City,29,Therapists,Physical Therapist Assistant (PTA),Select Rehabilitation,2.9,"Oklahoma City, OK",Unknown,Not Remote
2, Oklahoma,Oklahoma City,29,Therapists,"Full-Time, Remote Licensed Therapist",Lyra Health,4.6,United States,Unknown,Remote
3, Oklahoma,Oklahoma City,29,Therapists,Mental Health Therapist,Perceptions Counseling and Consulting,,"Oklahoma City, OK","$40,000 - $80,000 a year",Remote
4, Oklahoma,Oklahoma City,29,Therapists,Respiratory Therapist (CRT/RRT) - 100,Bridges Health,2.3,"Oklahoma County, OK",From $30 an hour,Not Remote
5, Oklahoma,Oklahoma City,29,Therapists,Physical Therapist Outpatient,Valir Health Llc,3.7,"Midwest City, OK",Unknown,Not Remote
6, Oklahoma,Oklahoma City,29,Therapists,Behavioral Therapist,"AIM Clinics - Norman, OK",,"Oklahoma City, OK",Unknown,Not Remote
7, Oklahoma,Oklahoma City,29,Therapists,Behavioral Care Advocate,UnitedHealth Group,3.7,"Oklahoma City, OK",Unknown,Remote
8, Oklahoma,Oklahoma City,29,Therapists,Occupational Therapist - The Children's Hospital,OU Medicine,3.5,"Oklahoma City, OK",Unknown,Not Remote
9, Oklahoma,Oklahoma City,29,Therapists,2021-2022 Secondary Counselor,Oklahoma City Public Schools,3.5,"Oklahoma City, OK",Unknown,Not Remote
10, Oklahoma,Oklahoma City,29,Therapists,Social Worker,US Department of Veterans Affairs,3.8,"Oklahoma City, OK","$77,488 - $100,739 a year",Not Remote
11, Oklahoma,Oklahoma City,29,Therapists,Behavioral Care Advocate Intensive Outpatient IOP - Telecommute in Oklahoma,UnitedHealth Group,3.7,"Oklahoma City, OK",Unknown,Remote
12, Oklahoma,Oklahoma City,29,Therapists,Family Intervention Specialist,Youth Villages,3.0,"Oklahoma City, OK",Unknown,Not Remote
13, Oklahoma,Oklahoma City,29,Therapists,"Child Care Counselor, NE OKC Y Clubhouse",Young Mens Christian Association,4.0,"Oklahoma City, OK",Unknown,Not Remote
14, Oklahoma,Oklahoma City,29,Therapists,Physical Therapist Assistant,Rehabilitation Medicine of Oklahoma,,"Oklahoma City, OK",$22 - $29 an hour,Not Remote
15, Oklahoma,Oklahoma City,29,Therapists,Clinical Therapist,University of Oklahoma,4.2,"Oklahoma City, OK","Up to $59,250 a year",Not Remote
16, Oklahoma,Oklahoma City,29,Therapists,Respiratory Care Practitioner - RRT/CRT,SSM Health,3.7,"Oklahoma City, OK",Unknown,Not Remote
17, Oklahoma,Oklahoma City,29,Therapists,Therapist-Mid-Del,Oklahoma Family Counseling Centers,3.1,"Del City, OK",Unknown,Not Remote
18, Oklahoma,Oklahoma City,29,Therapists,Licensed Therapist,Department of Mental Health and Substance Abuse Se...,,"Oklahoma City, OK","$45,250 a year",Not Remote
19, Oklahoma,Oklahoma City,29,Therapists,"Clinical Sales Specialist, Structural Heart - SI Stroke Prevention (OK, LA)",Abbott Laboratories,4.0,"Oklahoma City, OK",Unknown,Not Remote
20, Oklahoma,Oklahoma City,29,Therapists,Physical Therapist Tech,Physical Therapy Central,4.6,"Oklahoma City, OK",Unknown,Not Remote
21, Oklahoma,Oklahoma City,29,Therapists,Radiation Therapist - OPT - Days -Radiation Therapy - Southwest Medical Center,Integris Health,3.4,"Oklahoma City, OK",Unknown,Not Remote
22, Oklahoma,Oklahoma City,29,Therapists,Physical Therapist Assistant (PTA),Genesis Rehab Services,3.1,"Oklahoma City, OK",Unknown,Not Remote
