,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Oregon,Portland,15,Data Scientists,Unity ML-Agents (Machine Learning) Developer for AR/VR Studio,ForgeFX Simulations,,Oregon,$25 an hour,Remote
1, Oregon,Portland,15,Data Scientists,Senior Data Scientist,VanderHouwen,3.8,"Portland, OR",Unknown,Not Remote
2, Oregon,Portland,15,Data Scientists,Data Analyst/Scientist/Engineer,Cascade Data Labs (a subsidiary of Kin + Carta),,"Portland, OR","$65,000 - $120,000 a year",Temporarily remote
3, Oregon,Portland,15,Data Scientists,Data Scientist - Imaging Engineer,Oregon Health & Science University,3.9,"Portland, OR",Unknown,Not Remote
4, Oregon,Portland,15,Data Scientists,"Data Scientist, Activity Experience Research",Nike,4.1,"Beaverton, OR",Unknown,Not Remote
5, Oregon,Portland,15,Data Scientists,"Senior Data Scientist, LTV & Segmentation",Nike,4.1,"Beaverton, OR",Unknown,Not Remote
6, Oregon,Portland,15,Data Scientists,"Data Science, LIMS Administrator",AbSci,,"Vancouver, WA",Unknown,Not Remote
7, Oregon,Portland,15,Data Scientists,Senior Data Scientist,XPO Logistics,3.2,"Portland, OR",Unknown,Not Remote
8, Oregon,Portland,15,Data Scientists,Senior Data Analyst - Biomed Technology,Providence,3.9,"Portland, OR",Unknown,Not Remote
9, Oregon,Portland,15,Data Scientists,"Principal Data Scientist (Portland, Dallas, Chicago)",Peak6,4.0,"Portland, OR",Unknown,Not Remote
10, Oregon,Portland,15,Data Scientists,Senior Data Scientist (Commercial Analytics),Nike,4.1,"Beaverton, OR",Unknown,Not Remote
11, Oregon,Portland,15,Data Scientists,Data Scientist III,ZoomInfo Technologies LLC,3.8,"Vancouver, WA",Unknown,Not Remote
12, Oregon,Portland,15,Data Scientists,"Senior Scientist, Data Science",XPO Logistics,3.2,"Portland, OR",Unknown,Not Remote
13, Oregon,Portland,15,Data Scientists,"Data Scientist, Customer Intelligence - Opportunity for Working Remotely Portland, OR",VMware,4.0,"Portland, OR",Unknown,Remote
14, Oregon,Portland,15,Data Scientists,"Software Engineering, Data Engineer",AbSci,,"Vancouver, WA",Unknown,Not Remote
15, Oregon,Portland,15,Data Scientists,Data Scientist/ Machine Learning Engineer /Software Engineer/R&D Scientist,Energy Solutionss,,"Portland, OR",$50 - $200 an hour,Not Remote
16, Oregon,Portland,15,Data Scientists,Senior Data Analyst - Biomed Technology,Providence,3.9,"Beaverton, OR",Unknown,Not Remote
17, Oregon,Portland,15,Data Scientists,AI Support Engineer,DataRobot,3.8,"Portland, OR",Unknown,Not Remote
18, Oregon,Portland,15,Data Scientists,Senior Statistical Programmer (Ref: RM),PHASTAR,,"Portland, OR",Unknown,Remote
19, Oregon,Portland,15,Data Scientists,Principal Statistical Programmer (Ref: RM),PHASTAR,,"Portland, OR",Unknown,Remote
20, Oregon,Portland,15,Data Scientists,"Principal Software Engineer, AI/ML",Sage Intacct,4.5,"Beaverton, OR",Unknown,Not Remote
21, Oregon,Portland,15,Data Scientists,Senior Data Scientist,VanderHouwen,3.8,"Portland, OR",Unknown,Not Remote
22, Oregon,Portland,15,Data Scientists,Machine Learning Engineer,VanderHouwen,3.8,"Beaverton, OR",Unknown,Not Remote
0, Oregon,Portland,15,Computer Programmers,AR Software Developer II,"Avatar Partners, Inc.",,United States,"$90,000 - $115,000 a year",Remote
1, Oregon,Portland,15,Computer Programmers,EDI Analyst/Programmer,Ledgent Technology,3.4,"Beaverton, OR",Unknown,Not Remote
2, Oregon,Portland,15,Computer Programmers,Sleep Support Specialist,Inspire Medical Systems I,,"Portland, OR",Unknown,Not Remote
3, Oregon,Portland,15,Computer Programmers,IT Director,YAKIMA PRODUCTS INC,,"Lake Oswego, OR",Unknown,Not Remote
4, Oregon,Portland,15,Computer Programmers,Full-Stack React+Kendo+NodeJS+SQL Developer,"Append Media, LLC",,"Portland, OR",Unknown,Temporarily remote
5, Oregon,Portland,15,Computer Programmers,Senior Programmer Writer (Remote - US West),Splunk,4.2,"Portland, OR",Unknown,Temporarily remote
6, Oregon,Portland,15,Computer Programmers,Senior Programmer Writer (Remote - US West),Splunk,4.2,"Vancouver, WA",Unknown,Temporarily remote
0, Oregon,Portland,15,Actuaries,Associate Actuary,Moda Health,3.1,"Portland, OR",Unknown,Not Remote
1, Oregon,Portland,15,Actuaries,Actuarial Analyst II,Moda Health,3.1,"Portland, OR",Unknown,Not Remote
2, Oregon,Portland,15,Actuaries,Actuarial Associate,M Financial Holdings Incorporated,,"Portland, OR",Unknown,Not Remote
0, Oregon,Portland,15,Software Quality Assurance Analyst,QA Lead,Xcite Interactive,,United States,"$70,000 - $90,000 a year",Not Remote
1, Oregon,Portland,15,Software Quality Assurance Analyst,Project Business Systems Analyst,Moda Health,3.1,"Portland, OR",Unknown,Not Remote
2, Oregon,Portland,15,Software Quality Assurance Analyst,AML Analyst,Banner Bank,3.4,"Tigard, OR",Unknown,Not Remote
3, Oregon,Portland,15,Software Quality Assurance Analyst,Senior QA,WebMD,3.6,"Portland, OR",Unknown,Not Remote
4, Oregon,Portland,15,Software Quality Assurance Analyst,Dynamics Business & Systems Senior Analyst,APTIM,3.6,"Portland, OR",From $40 an hour,Not Remote
5, Oregon,Portland,15,Software Quality Assurance Analyst,"Manager, Service Management Office",Oregon Health & Science University,3.9,"Portland, OR",Unknown,Not Remote
6, Oregon,Portland,15,Software Quality Assurance Analyst,Vice President (VP) of Strategy - Professional Services,Acumen Executive Search,,"Portland, OR","$225,000 a year",Not Remote
0, Oregon,Portland,17,Electrical Engineering Technicians,Radar / Electronic Warfare (EW) Systems Field Engineering Technician,"CEA Technologies, Inc.",,United States,$31 - $34 an hour,Not Remote
1, Oregon,Portland,17,Electrical Engineering Technicians,Electrical Engineering Technician,Aerotek,3.7,"Vancouver, WA",$39 an hour,Not Remote
2, Oregon,Portland,17,Electrical Engineering Technicians,Intelligent Transportation Systems,Department of Transportation,3.8,"Portland, OR","$4,495 - $6,909 a month",Not Remote
3, Oregon,Portland,17,Electrical Engineering Technicians,Electrical Design Technician,Jacobs,3.9,"Portland, OR",Unknown,Not Remote
4, Oregon,Portland,17,Electrical Engineering Technicians,Electronics Technician,Akka-Technologies,3.1,"Portland, OR",$25 - $28 an hour,Not Remote
5, Oregon,Portland,17,Electrical Engineering Technicians,Electro-Mechanical Technician,Telestream,,"Beaverton, OR","$60,000 - $65,000 a year",Not Remote
6, Oregon,Portland,17,Electrical Engineering Technicians,Electrical Design Technician,Jacobs,3.9,"Portland, OR",Unknown,Not Remote
7, Oregon,Portland,17,Electrical Engineering Technicians,Electronic Engineering Technician,Aerotek,3.7,"Vancouver, WA",$25.50 an hour,Not Remote
0, Oregon,Portland,17,Nuclear Engineers,Senior Aerospace Systems Engineer,Analytical Mechanics Associates,,United States,Unknown,Temporarily remote
1, Oregon,Portland,17,Nuclear Engineers,Senior Construction Inspector,City of Vancouver,3.7,"Vancouver, WA","$5,708 - $7,298 a month",Not Remote
0, Oregon,Portland,17,Mechanical Engineering Technicians,Engineering Technician,Aerotek,3.7,"Lake Oswego, OR",$24.50 an hour,Not Remote
1, Oregon,Portland,17,Mechanical Engineering Technicians,Chemical Process Technician-Piping Designer,HKA Enterprises,4.0,"Portland, OR",$45 - $54 an hour,Temporarily remote
2, Oregon,Portland,17,Mechanical Engineering Technicians,Radar / Electronic Warfare (EW) Systems Field Engineering Technician,"CEA Technologies, Inc.",,United States,$31 - $34 an hour,Not Remote
3, Oregon,Portland,17,Mechanical Engineering Technicians,Mechanical Drafter,Hunter-Davisson,3.8,"Portland, OR",Unknown,Not Remote
4, Oregon,Portland,17,Mechanical Engineering Technicians,Test Technician,"Coherent, Inc.",3.8,"Portland, OR",Unknown,Not Remote
5, Oregon,Portland,17,Mechanical Engineering Technicians,Electro-Mechanical Technician,Telestream,,"Beaverton, OR","$60,000 - $65,000 a year",Not Remote
6, Oregon,Portland,17,Mechanical Engineering Technicians,Test Engineering Technican,Biamp Systems,3.4,"Tigard, OR",Unknown,Not Remote
7, Oregon,Portland,17,Mechanical Engineering Technicians,Maintenance Tech I - IV (Specialist),FedEx Ground Careers US,3.4,"Portland, OR",Unknown,Not Remote
8, Oregon,Portland,17,Mechanical Engineering Technicians,"Facilities Technician, Level 4",Maxim Integrated,3.5,"Beaverton, OR",Unknown,Not Remote
9, Oregon,Portland,17,Mechanical Engineering Technicians,Water Treatment Technical Sales Support Service Tech-Portland,Garratt Callahan Co,,"Portland, OR","$60,000 - $75,000 a year",Remote
10, Oregon,Portland,17,Mechanical Engineering Technicians,Test Engineering Technican,Biamp,3.5,"Tigard, OR",Unknown,Not Remote
11, Oregon,Portland,17,Mechanical Engineering Technicians,INTERNAL ONLY: Field Construction/Maintenance Technician 1,Clean Water Services,3.2,"Beaverton, OR","$48,547 - $66,747 a year",Not Remote
12, Oregon,Portland,17,Mechanical Engineering Technicians,System Technician I – Smart Buildings/Fire Alarm or Security – Portland OR,Siemens,4.0,"Beaverton, OR",Unknown,Not Remote
13, Oregon,Portland,17,Mechanical Engineering Technicians,System Technician I – Smart Buildings/Fire Alarm or Security – Portland OR,Siemens,4.0,"Portland, OR",Unknown,Not Remote
