,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Oregon,Portland,11,Facilities Manager,Facilities Manager,AAA Oregon/Idaho,3.8,"Portland, OR",Unknown,Not Remote
1, Oregon,Portland,11,Facilities Manager,Boat Captain/Mechanical Maintenance Manager,American Waterways/Portland Spirit,,"Portland, OR","$42,000 - $47,000 a year",Not Remote
2, Oregon,Portland,11,Facilities Manager,Chief Engineer,Hampton Inn & Suites Portland-Tigard,,"Tigard, OR",$18 an hour,Not Remote
3, Oregon,Portland,11,Facilities Manager,Campus Facilities Manager,Relay Resources,3.3,"Portland, OR","$58,000 - $66,000 a year",Not Remote
4, Oregon,Portland,11,Facilities Manager,Maintenance Planner and Scheduler,James W. Fowler Company,,"Portland, OR",Unknown,Not Remote
5, Oregon,Portland,11,Facilities Manager,Maintenance Director,Creekside Rehab and Nursing,,"Portland, OR",$18 - $24 an hour,Not Remote
6, Oregon,Portland,11,Facilities Manager,Property Maintenance Manager - Painting/Carpentry/Electrical/Plumbing,Kler Investments,,"Portland, OR",From $20 an hour,Not Remote
7, Oregon,Portland,11,Facilities Manager,Exterior Common Area Maintenance Lead,Forest Heights HOA,,"Portland, OR",$18 - $20 an hour,Not Remote
8, Oregon,Portland,11,Facilities Manager,Manager Facilities,Moda Health,3.1,"Portland, OR",Unknown,Remote
9, Oregon,Portland,11,Facilities Manager,Facilities Manager,AAA Oregon/Idaho,3.8,"Portland, OR",Unknown,Not Remote
10, Oregon,Portland,11,Facilities Manager,Facilities Manager,ZOOM+Care,2.8,"Portland, OR",Unknown,Not Remote
11, Oregon,Portland,11,Facilities Manager,Security & Facilities Manager,Tillamook,2.8,"Portland, OR",Unknown,Not Remote
12, Oregon,Portland,11,Facilities Manager,Facilities Manager,JLL,3.7,"Portland, OR",Unknown,Not Remote
13, Oregon,Portland,11,Facilities Manager,Facilities/Machine Tech Manager,New Energy Works Timber Framers,3.2,"Portland, OR",Unknown,Not Remote
14, Oregon,Portland,11,Facilities Manager,Campus Facilities Manager,Relay Resources,3.3,"Portland, OR","$58,000 - $66,000 a year",Not Remote
15, Oregon,Portland,11,Facilities Manager,Campus Facilities Manager,Relay Resources,3.3,"Portland, OR","$58,000 - $66,000 a year",Not Remote
16, Oregon,Portland,11,Facilities Manager,Facilities Coordinator,Day Management Corp,,"Milwaukie, OR",Unknown,Not Remote
17, Oregon,Portland,11,Facilities Manager,Director of Engineering - Kimpton Riverplace Hotel,Kimpton Hotels and Restaurants,4.0,"Portland, OR",Unknown,Not Remote
18, Oregon,Portland,11,Facilities Manager,Fitness Facility Manager,West Hills Racquet & Fitness Club,,"Portland, OR","$55,000 - $60,000 a year",Not Remote
19, Oregon,Portland,11,Facilities Manager,Facilities Coordinator - Properties/Construction,Day Wireless Systems,3.0,"Milwaukie, OR",$26 - $30 an hour,Not Remote
20, Oregon,Portland,11,Facilities Manager,Facilities Coordinator - Properties/Construction,Day Wireless Systems,3.0,"Portland, OR",$26 - $30 an hour,Not Remote
21, Oregon,Portland,11,Facilities Manager,Maintenance Manager,Oxford Suites & Hotels,,"Portland, OR",Unknown,Not Remote
22, Oregon,Portland,11,Facilities Manager,Boat Captain/Mechanical Maintenance Manager,American Waterways/Portland Spirit,,"Portland, OR","$42,000 - $47,000 a year",Not Remote
23, Oregon,Portland,11,Facilities Manager,Area Maintenance Manager,"Avenue5 Residential, LLC",3.1,"Portland, OR",Unknown,Not Remote
24, Oregon,Portland,11,Facilities Manager,Chief Engineer,DoubleTree by Hilton Hotel Portland,,"Portland, OR",Unknown,Not Remote
25, Oregon,Portland,11,Facilities Manager,Maintenance Director,Creekside Rehab and Nursing,,"Portland, OR",$18 - $24 an hour,Not Remote
26, Oregon,Portland,11,Facilities Manager,Maintenance Director,MorningStar Senior Management,,"Beaverton, OR",Unknown,Not Remote
27, Oregon,Portland,11,Facilities Manager,Maintenance Account Manager - HOA and Commercial Properties,"Landscape East & West, Inc.",,"Portland, OR","$70,000 - $80,000 a year",Not Remote
28, Oregon,Portland,11,Facilities Manager,Apartment Manager/Maintenance – Portland (SE),Norris & Stevens,,"Portland, OR",Unknown,Not Remote
29, Oregon,Portland,11,Facilities Manager,Maintenance Planner and Scheduler,James W. Fowler Company,,"Portland, OR",Unknown,Not Remote
30, Oregon,Portland,11,Facilities Manager,Facility Maintenance Director,"Avamere Health Services, LLC",3.0,"Lake Oswego, OR",Unknown,Not Remote
31, Oregon,Portland,11,Facilities Manager,Maintenance Director (Assisted Living),Greenridge Estates Assisted Living,,"Lake Oswego, OR",$19 - $25 an hour,Not Remote
32, Oregon,Portland,11,Facilities Manager,Maintenance Supervisor,Pinnacle Property Management Services,2.7,"Portland, OR",Unknown,Not Remote
33, Oregon,Portland,11,Facilities Manager,Area Material Handling Maintenance Manager,CBRE,3.7,"Portland, OR",Unknown,Not Remote
34, Oregon,Portland,11,Facilities Manager,"Regional Maintenance Manager - Northwest (WA, OR, CA)",NALS Apartment Homes,3.7,"Vancouver, WA",Unknown,Not Remote
35, Oregon,Portland,11,Facilities Manager,Property Maintenance Manager - Painting/Carpentry/Electrical/Plumbing,Kler Investments,,"Portland, OR",From $20 an hour,Not Remote
36, Oregon,Portland,11,Facilities Manager,Maintenance Director,Deerfield Village Assisted Living,3.0,"Milwaukie, OR",Unknown,Not Remote
37, Oregon,Portland,11,Facilities Manager,Maintenance Supervisor at City View Apartments!,Affinity Property Management,3.6,"Portland, OR",$25 an hour,Not Remote
38, Oregon,Portland,11,Facilities Manager,Chief Engineer,Benson Hotel,4.8,"Portland, OR",Unknown,Not Remote
39, Oregon,Portland,11,Facilities Manager,Technical Facility Manager/Supervisor,Round1,2.9,"Vancouver, WA",$14 - $24 an hour,Not Remote
40, Oregon,Portland,11,Facilities Manager,Exterior Common Area Maintenance Lead,Forest Heights HOA,,"Portland, OR",$18 - $20 an hour,Not Remote
