,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Pennsylvania,Philadelphia,19,Historians,Lab Assistant,Aerotek,3.7,"Philadelphia, PA",$19 an hour,Not Remote
0, Pennsylvania,Philadelphia,19,Medical Scientists,Clinical Laboratory Scientist,Main Line Health,3.7,"Wynnewood, PA",Unknown,Not Remote
1, Pennsylvania,Philadelphia,19,Medical Scientists,Histotechnologist II,Penn Medicine,4.0,"Philadelphia, PA",Unknown,Not Remote
2, Pennsylvania,Philadelphia,19,Medical Scientists,Research Scientist,Proclinical Staffing,3.7,"Philadelphia, PA",Unknown,Not Remote
3, Pennsylvania,Philadelphia,19,Medical Scientists,Clinical Research Assistant,University of Pennsylvania,4.2,"Philadelphia, PA",Unknown,Not Remote
4, Pennsylvania,Philadelphia,19,Medical Scientists,Clinical Research Assistant B,University of Pennsylvania,4.2,"Philadelphia, PA",Unknown,Not Remote
5, Pennsylvania,Philadelphia,19,Medical Scientists,Clinical Research Assistant A,University of Pennsylvania,4.2,"Philadelphia, PA",Unknown,Not Remote
6, Pennsylvania,Philadelphia,19,Medical Scientists,Molecular Laboratory Assistant,American Red Cross,3.8,"Philadelphia, PA",Unknown,Not Remote
7, Pennsylvania,Philadelphia,19,Medical Scientists,Emergency Medical Services (EMS) Epidemiologist,Health Federation Of Philadelphia,4.3,"Philadelphia, PA",Unknown,Not Remote
8, Pennsylvania,Philadelphia,19,Medical Scientists,Research Specialist B,University of Pennsylvania,4.2,"Philadelphia, PA",Unknown,Not Remote
9, Pennsylvania,Philadelphia,19,Medical Scientists,Research Tech II-Center for Childhood Cancer Research,Children's Hospital of Philadelphia,4.0,"Philadelphia, PA",Unknown,Not Remote
10, Pennsylvania,Philadelphia,19,Medical Scientists,"Post-Doc Fellow Research, Department of Neurosurgery, Lab of Dr. Pascal Jabbour","Jefferson - Center City, Philadelphia, PA",3.9,"Philadelphia, PA",Unknown,Not Remote
11, Pennsylvania,Philadelphia,19,Medical Scientists,Research Technician,Monell Chemical Senses Center,4.6,"Philadelphia, PA",Unknown,Not Remote
12, Pennsylvania,Philadelphia,19,Medical Scientists,"Research Technician I - Cancer Biology - Lab of Dr. Andrew Aplin (Full-Time, Days)","Jefferson - Center City, Philadelphia, PA",3.9,"Philadelphia, PA",Unknown,Not Remote
13, Pennsylvania,Philadelphia,19,Medical Scientists,Clinical Coordinator,Catalent Pharma Solutions,3.1,"Philadelphia, PA",Unknown,Not Remote
14, Pennsylvania,Philadelphia,19,Medical Scientists,Research Specialist B,University of Pennsylvania,4.2,"Philadelphia, PA",Unknown,Not Remote
15, Pennsylvania,Philadelphia,19,Medical Scientists,Research Specialist C,University of Pennsylvania,4.2,"Philadelphia, PA",Unknown,Not Remote
16, Pennsylvania,Philadelphia,19,Medical Scientists,Molecular Med Technologist (Full Time - Days),"Jefferson - Center City, Philadelphia, PA",3.9,"Philadelphia, PA",Unknown,Not Remote
17, Pennsylvania,Philadelphia,19,Medical Scientists,Research Post Doc-Kai Tan Laboratory,Children's Hospital of Philadelphia,4.0,"Philadelphia, PA",Unknown,Not Remote
18, Pennsylvania,Philadelphia,19,Medical Scientists,Clinical Research Pharmacy Assistant,University of Pennsylvania,4.2,"Philadelphia, PA",Unknown,Not Remote
19, Pennsylvania,Philadelphia,19,Medical Scientists,Research Technician,Monell Chemical Senses Center,4.6,"Philadelphia, PA","$34,000 - $37,000 a year",Not Remote
20, Pennsylvania,Philadelphia,19,Medical Scientists,Clin Research Assistant I - Children's Oncology Group,Children's Hospital of Philadelphia,4.0,"Philadelphia, PA",Unknown,Not Remote
21, Pennsylvania,Philadelphia,19,Medical Scientists,Clinical Research Assistant - Division of Orthopedic Surgery - Children's Surgical Associates,Children's Hospital of Philadelphia,4.0,"Philadelphia, PA",Unknown,Not Remote
22, Pennsylvania,Philadelphia,19,Medical Scientists,Post - Doctoral Fellow - Jefferson College of Population Health,"Jefferson - Center City, Philadelphia, PA",3.9,"Philadelphia, PA",Unknown,Not Remote
23, Pennsylvania,Philadelphia,19,Medical Scientists,Lab-Chen - Research Assistant,Wistar,4.1,"Philadelphia, PA",Unknown,Not Remote
24, Pennsylvania,Philadelphia,19,Medical Scientists,Clinical Research Associate - Ophthalmology,Greenlight Clinical,,"Philadelphia, PA","From $80,000 a year",Not Remote
25, Pennsylvania,Philadelphia,19,Medical Scientists,Research Technician II- Department of Pathology- Lab of Dr. Renato Iozzo,"Jefferson - Center City, Philadelphia, PA",3.9,"Philadelphia, PA",Unknown,Not Remote
26, Pennsylvania,Philadelphia,19,Medical Scientists,Senior Clinical Research Associate,Piper Companies,4.5,"Philadelphia, PA","$90,000 - $140,000 a year",Remote
27, Pennsylvania,Philadelphia,19,Medical Scientists,"Scientific Director, US Medical Affairs - Niraparib (Oncology)",GSK,4.2,"Philadelphia, PA",Unknown,Not Remote
28, Pennsylvania,Philadelphia,19,Medical Scientists,Research Technician I - Department of Biochemistry and Molecular Biology - Lab of Dr. Diane Merry,"Jefferson - Center City, Philadelphia, PA",3.9,"Philadelphia, PA",Unknown,Not Remote
29, Pennsylvania,Philadelphia,19,Medical Scientists,Histotechnologist II,Penn Medicine,4.0,"Philadelphia, PA",Unknown,Not Remote
30, Pennsylvania,Philadelphia,19,Medical Scientists,Res Post Doc Fellow -Division of Pulmonary Medicine and The Center for Lung Research,Children's Hospital of Philadelphia,4.0,"Philadelphia, PA",Unknown,Not Remote
31, Pennsylvania,Philadelphia,19,Medical Scientists,Research Specialist A/B,University of Pennsylvania,4.2,"Philadelphia, PA",Unknown,Not Remote
32, Pennsylvania,Philadelphia,19,Medical Scientists,Student - Pharmacology & Experimental Therapeutics,"Jefferson - Center City, Philadelphia, PA",3.9,"Philadelphia, PA",Unknown,Not Remote
33, Pennsylvania,Philadelphia,19,Medical Scientists,Research Technician I - Department of Biochemistry and Molecular Biology - Lab of Dr. Lin Guo,"Jefferson - Center City, Philadelphia, PA",3.9,"Philadelphia, PA",Unknown,Not Remote
34, Pennsylvania,Philadelphia,19,Medical Scientists,Senior Research Program Analyst - Asano-Gonnella Center for Research Medical Education,"Jefferson - Center City, Philadelphia, PA",3.9,"Philadelphia, PA",Unknown,Not Remote
