,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Pennsylvania,Philadelphia,17,Nuclear Engineers,Associate Technical Estimator,Astro Pak Corporation,4.0,United States,Unknown,Remote
1, Pennsylvania,Philadelphia,17,Nuclear Engineers,Submarine Systems Engineer (Navy Nuclear),MCKEAN DEFENSE/CABRILLO TECHNOLOGIES,,"Philadelphia, PA",Unknown,Not Remote
2, Pennsylvania,Philadelphia,17,Nuclear Engineers,Systems Engineer (Engineer Systems 2),Huntington Ingalls Industries Inc.,3.8,"Philadelphia, PA",Unknown,Not Remote
3, Pennsylvania,Philadelphia,17,Nuclear Engineers,Mechanical Engineer,HOLTEC INTERNATIONAL,2.4,"Camden, NJ",Unknown,Not Remote
4, Pennsylvania,Philadelphia,17,Nuclear Engineers,Senior Mechanical Design Engineer,Holtec International,2.4,"Camden, NJ",Unknown,Not Remote
5, Pennsylvania,Philadelphia,17,Nuclear Engineers,Medical Physicist D,University of Pennsylvania,4.2,"Philadelphia, PA",Unknown,Not Remote
6, Pennsylvania,Philadelphia,17,Nuclear Engineers,Adjunct Product Line Manager,HOLTEC INTERNATIONAL,2.4,"Camden, NJ",Unknown,Not Remote
7, Pennsylvania,Philadelphia,17,Nuclear Engineers,Systems Engineer IV,The GBS Group,3.8,"Philadelphia, PA",Unknown,Not Remote
8, Pennsylvania,Philadelphia,17,Nuclear Engineers,Adjunct Product Line Manager,Holtec International,2.4,"Camden, NJ",Unknown,Not Remote
0, Pennsylvania,Philadelphia,17,Mechanical Engineering Technicians,Analyzer Specialist / Technician,JCIS Inc.,,"Philadelphia, PA","$100,000 - $120,000 a year",Not Remote
1, Pennsylvania,Philadelphia,17,Mechanical Engineering Technicians,Biomedical Technician - Novasyte,IQVIA,3.8,"Philadelphia, PA",Unknown,Not Remote
2, Pennsylvania,Philadelphia,17,Mechanical Engineering Technicians,Solar Electrician / Technician (Commerical O&M)(NJ),Confidential Fastgrowing Solar O&M Company,,"Cherry Hill, NJ",$27 - $38 an hour,Remote
3, Pennsylvania,Philadelphia,17,Mechanical Engineering Technicians,Analyzer Specialist / Technician,JCIS Inc.,,"Philadelphia, PA","$100,000 - $120,000 a year",Not Remote
4, Pennsylvania,Philadelphia,17,Mechanical Engineering Technicians,CW/ECWS System Senior Engineering Technician,MCKEAN DEFENSE/CABRILLO TECHNOLOGIES,,"Philadelphia, PA",Unknown,Not Remote
5, Pennsylvania,Philadelphia,17,Mechanical Engineering Technicians,Director of Facilities,Brightside Academy,2.8,"Philadelphia, PA",Unknown,Not Remote
6, Pennsylvania,Philadelphia,17,Mechanical Engineering Technicians,Building Maintenance Supervisor,Madison Parke LLC,4.0,"Philadelphia, PA",$30 an hour,Not Remote
7, Pennsylvania,Philadelphia,17,Mechanical Engineering Technicians,Service Technician - Field,Powerhouse Equipment & Engineering Co. I,,"Philadelphia, PA",Unknown,Not Remote
8, Pennsylvania,Philadelphia,17,Mechanical Engineering Technicians,Technician - Facilities,Sungard Availability Services,3.3,"Philadelphia, PA",Unknown,Not Remote
9, Pennsylvania,Philadelphia,17,Mechanical Engineering Technicians,Maintenance Technician,Inglis Foundation,3.4,"Philadelphia, PA",$21.47 an hour,Not Remote
10, Pennsylvania,Philadelphia,17,Mechanical Engineering Technicians,A&P Mechanic,AAA AEROSPACE USA INC,,"Philadelphia, PA",Unknown,Not Remote
11, Pennsylvania,Philadelphia,17,Mechanical Engineering Technicians,HVAC Technician,Philadelphia Zoo,3.8,"Philadelphia, PA",$32.18 an hour,Not Remote
12, Pennsylvania,Philadelphia,17,Mechanical Engineering Technicians,Field Service Specialist,Emerson,3.9,"Philadelphia, PA",Unknown,Not Remote
13, Pennsylvania,Philadelphia,17,Mechanical Engineering Technicians,Maintenance Apprentice,Holtec International,2.4,"Camden, NJ",Unknown,Not Remote
14, Pennsylvania,Philadelphia,17,Mechanical Engineering Technicians,Service Technician Electrical,"Krones, Inc",3.8,"Philadelphia, PA",$20 - $30 an hour,Not Remote
