,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Rhode Island,Providence,23,Legal Occupations,Associate,Hanson Curran,,"Providence, RI",Unknown,Not Remote
1, Rhode Island,Providence,23,Legal Occupations,Legal Assistant,"Mancini Carter, PC",,"Providence, RI",From $20 an hour,Not Remote
2, Rhode Island,Providence,23,Legal Occupations,Personal Injury Litigation Attorney,Rob Levine & Associates,,"Providence, RI","$75,000 - $130,000 a year",Remote
3, Rhode Island,Providence,23,Legal Occupations,Paralegal/Legal Assistant,"Law Offices of William J. Conley, Jr.",,"Providence, RI",$19 - $23 an hour,Not Remote
4, Rhode Island,Providence,23,Legal Occupations,INTAKE UNIT LEGAL CLERK,State of Rhode Island,4.1,"Providence, RI","$41,934 - $46,399 a year",Not Remote
5, Rhode Island,Providence,23,Legal Occupations,Legal Administrative Coordinator,Brown University,4.3,"Providence, RI",Unknown,Not Remote
6, Rhode Island,Providence,23,Legal Occupations,Legal Secretary,GEICO,3.4,"Providence, RI",Unknown,Not Remote
7, Rhode Island,Providence,23,Legal Occupations,Legal Assistant,VirginPulse,,"Providence, RI",Unknown,Remote
8, Rhode Island,Providence,23,Legal Occupations,ADMINISTRATIVE AND LEGAL SUPPORT SERVICES ADMINISTRATOR,State of Rhode Island,4.1,"Providence, RI","$115,909 - $131,284 a year",Not Remote
9, Rhode Island,Providence,23,Legal Occupations,Legal Assistant,Bottaro Law Firm,4.0,"Providence, RI",From $17 an hour,Not Remote
10, Rhode Island,Providence,23,Legal Occupations,Litigation Paralegal,Chisholm Chisholm & Kilpatrick LTD,3.4,"Providence, RI","From $40,000 a year",Temporarily remote
11, Rhode Island,Providence,23,Legal Occupations,Legal Assistant,"Mancini Carter, PC",,"Providence, RI",From $20 an hour,Not Remote
12, Rhode Island,Providence,23,Legal Occupations,Case Administrator II (Legal Service Administrative Support),American Arbitration Association,3.7,"Johnston, RI",Unknown,Not Remote
13, Rhode Island,Providence,23,Legal Occupations,Legal Recruiting Specialist (Associate Recruiting),Nixon Peabody LLP,3.6,"Providence, RI",Unknown,Not Remote
14, Rhode Island,Providence,23,Legal Occupations,Legal Intake Specialist,Chisholm Chisholm & Kilpatrick LTD,3.4,"Providence, RI","$41,600 a year",Temporarily remote
15, Rhode Island,Providence,23,Legal Occupations,Document Review Paralegal,Chisholm Chisholm & Kilpatrick LTD,3.4,"Providence, RI","$31,200 a year",Temporarily remote
16, Rhode Island,Providence,23,Legal Occupations,Legal Assistant/Paralegal,"Savage Law Partners, LLP",,"Providence, RI",Unknown,Temporarily remote
17, Rhode Island,Providence,23,Legal Occupations,Legal Secretary – Real Estate/Tax (Part Time),Gordon Rees Scully Mansukhani,,"Providence, RI",Unknown,Not Remote
18, Rhode Island,Providence,23,Legal Occupations,Paralegal/Legal Assistant,"Law Offices of William J. Conley, Jr.",,"Providence, RI",$19 - $23 an hour,Not Remote
19, Rhode Island,Providence,23,Legal Occupations,Legal Operations Manager (with Corporate Paralegal experience),Howell Legal Inc.,,"Providence, RI","$70,000 - $95,000 a year",Remote
20, Rhode Island,Providence,23,Legal Occupations,Legal Assistant/Collector,"Figliola & Romano, LLC",,"Barrington, RI",$14.50 - $15.00 an hour,Not Remote
21, Rhode Island,Providence,23,Legal Occupations,Commercial Counsel,VirginPulse,,"Providence, RI",Unknown,Remote
22, Rhode Island,Providence,23,Legal Occupations,Residential Real Estate Title Examiner/Abstractor - National (Remote),First National Title & Escrow,,"Providence, RI","$40,000 - $60,000 a year",Remote
