,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Tennessee,Nashville,11,Facilities Manager,Maintenance Manager at LC Germantown,Lifestyle Communities,3.2,"Nashville, TN",Unknown,Not Remote
1, Tennessee,Nashville,11,Facilities Manager,Maintenance Manager,Nomnomnow Inc,2.3,"Nashville, TN","$80,000 - $85,000 a year",Not Remote
2, Tennessee,Nashville,11,Facilities Manager,"Director of Facilities - Relocation assistance to Yuma, AZ",Yuma Regional Medical Center,3.8,United States,"$110,000 - $150,000 a year",Not Remote
3, Tennessee,Nashville,11,Facilities Manager,Facilities Maintenance Coordinator,AllianceBernstein,3.5,"Nashville, TN",Unknown,Not Remote
4, Tennessee,Nashville,11,Facilities Manager,Facilities Manager - Assembly Food Hall,"Food Hall Company, LLC",,"Nashville, TN",Unknown,Not Remote
5, Tennessee,Nashville,11,Facilities Manager,Facility Manager,JLL,3.7,"Nashville, TN",Unknown,Not Remote
6, Tennessee,Nashville,11,Facilities Manager,Maintenance Manager at LC Germantown,Lifestyle Communities,3.2,"Nashville, TN",Unknown,Not Remote
7, Tennessee,Nashville,11,Facilities Manager,Director of Engineering,1 Hotel Nashville,,"Nashville, TN",Unknown,Not Remote
8, Tennessee,Nashville,11,Facilities Manager,Maintenance Manager,Nomnomnow Inc,2.3,"Nashville, TN","$80,000 - $85,000 a year",Not Remote
9, Tennessee,Nashville,11,Facilities Manager,Assistant Chief Engineer,JLL,3.7,"Nashville, TN",Unknown,Not Remote
10, Tennessee,Nashville,11,Facilities Manager,Fire Maintenance Supervisor,Metropolitan Government of Nashville & Davidson Co...,3.5,"Nashville, TN","$58,262 - $68,053 a year",Not Remote
11, Tennessee,Nashville,11,Facilities Manager,Tier 1 Maintenance Coordinator,Granite Telecommunications,2.8,"Nashville, TN",Unknown,Not Remote
12, Tennessee,Nashville,11,Facilities Manager,Maintenance Coordinator,Roofstock,3.7,"Nashville, TN",Unknown,Not Remote
13, Tennessee,Nashville,11,Facilities Manager,Car Wash Facility Maintenance Manager,WBAW INC,,"Nashville, TN",$15 - $20 an hour,Not Remote
14, Tennessee,Nashville,11,Facilities Manager,Chief Engineer,The Quality Inn - Nashville Stadium Downtown,,"Nashville, TN",$15 - $25 an hour,Not Remote
15, Tennessee,Nashville,11,Facilities Manager,Maintenance Director,Whites Creek Wellness & Rehabilitation Center,,"Nashville, TN",Unknown,Not Remote
16, Tennessee,Nashville,11,Facilities Manager,Maintenance Director,Whites Creek Wellness & Rehabilitation Center,,"Nashville, TN",Unknown,Not Remote
17, Tennessee,Nashville,11,Facilities Manager,Maintenance Supervisor,CA Ventures,3.7,"Nashville, TN",Unknown,Not Remote
18, Tennessee,Nashville,11,Facilities Manager,Maintenance Supervisor,The Berkshire Group,3.9,"Nashville, TN",Unknown,Not Remote
19, Tennessee,Nashville,11,Facilities Manager,Chief Engineer,Courtyard | McNeill Hotels,,"Nashville, TN",Unknown,Not Remote
20, Tennessee,Nashville,11,Facilities Manager,Maintenance Supervisor,Elmington,,"Nashville, TN",Unknown,Not Remote
21, Tennessee,Nashville,11,Facilities Manager,Maintenance Director,Wood Residential,3.2,"Nashville, TN",Unknown,Not Remote
22, Tennessee,Nashville,11,Facilities Manager,Maintenance Supervisor,ExcHealth,,"Nashville, TN",Unknown,Not Remote
23, Tennessee,Nashville,11,Facilities Manager,Director of Facilities Management - PRN,Fire Door Solutions LLC,,"Nashville, TN",Unknown,Not Remote
24, Tennessee,Nashville,11,Facilities Manager,Maintenance Supervisor - Cumberland Retreat,Freeman Webb Company,3.9,"Nashville, TN",Unknown,Not Remote
25, Tennessee,Nashville,11,Facilities Manager,Maintenance Supervisor,RangeWater,,"Nashville, TN",Unknown,Not Remote
26, Tennessee,Nashville,11,Facilities Manager,Maintenance Lead,McKendree Village,3.3,"Hermitage, TN",Unknown,Not Remote
27, Tennessee,Nashville,11,Facilities Manager,Maintenance Supervisor,Lincoln Property Company,3.6,"Nashville, TN",Unknown,Not Remote
28, Tennessee,Nashville,11,Facilities Manager,Maintenance Supervisor,Fortis Property Management,,"Nashville, TN",$18 - $20 an hour,Not Remote
29, Tennessee,Nashville,11,Facilities Manager,Maintenance Supervisor,CA Ventures,3.7,"Nashville, TN",Unknown,Not Remote
30, Tennessee,Nashville,11,Facilities Manager,Maintenance Supervisor,Bluestone Properties,3.3,"Nashville, TN",Unknown,Not Remote
31, Tennessee,Nashville,11,Facilities Manager,Maintenance Supervisor,Confidential,,"Nashville, TN",$23 - $25 an hour,Not Remote
0, Tennessee,Nashville,11,Funeral Home Managers,Family Service Counselor,"SCI Shared Resources, LLC",3.1,"Nashville, TN",Unknown,Not Remote
1, Tennessee,Nashville,11,Funeral Home Managers,Human Resources Manager I,"SCI Shared Resources, LLC",3.1,"Nashville, TN",Unknown,Not Remote
0, Tennessee,Nashville,11,Manager,Operations Manager,"Metro Roofing & Metal supply, inc. co.",3.5,"Nashville, TN","$34,854 - $123,008 a year",Not Remote
1, Tennessee,Nashville,11,Manager,"MANUFACTURING SHIFT MANAGER – ELIZABETHTOWN, KY",BYQUEST,,"Nashville, TN","$50,000 - $60,000 a year",Not Remote
2, Tennessee,Nashville,11,Manager,Commercial HVAC Manager,"Synergy Service, LLC",,"Nashville, TN","$50,000 - $110,000 a year",Not Remote
3, Tennessee,Nashville,11,Manager,Senior Product Manager,Healthpilot Technologies LLC,,"Nashville, TN","$120,000 - $150,000 a year",Not Remote
4, Tennessee,Nashville,11,Manager,Operations Manager,"Metro Roofing & Metal supply, inc. co.",3.5,"Nashville, TN","$34,854 - $123,008 a year",Not Remote
5, Tennessee,Nashville,11,Manager,Baseball Manager,Lipscomb University,4.2,"Nashville, TN",Unknown,Not Remote
6, Tennessee,Nashville,11,Manager,Studio Manager,Lauren Marie Atkinson Designs,,"Nashville, TN",$15 - $19 an hour,Not Remote
7, Tennessee,Nashville,11,Manager,"Manager, Content & National Promotion",Sony Music Entertainment US,4.3,"Nashville, TN",Unknown,Not Remote
8, Tennessee,Nashville,11,Manager,IV Hydration Practice Manager,VidaFlo Nashville,,"Nashville, TN","$55,000 - $70,000 a year",Not Remote
9, Tennessee,Nashville,11,Manager,"General Manager (Plant Manager, Cooked Operations)",Cargill,3.8,"Nashville, TN",Unknown,Not Remote
10, Tennessee,Nashville,11,Manager,DLS Case Manager,Amazon.com Services LLC,3.5,"Nashville, TN","$48,800 a year",Not Remote
11, Tennessee,Nashville,11,Manager,Physician Practice Manager,Ascension,3.7,"Nashville, TN",Unknown,Not Remote
12, Tennessee,Nashville,11,Manager,"General Manager, Southeast",Oliver Hospitality,,"Nashville, TN","$75,000 - $125,000 a year",Not Remote
13, Tennessee,Nashville,11,Manager,DCS CASE MANAGER 2* - 03172021-15898,State of Tennessee,3.7,"Nashville, TN","$33,228 a year",Not Remote
14, Tennessee,Nashville,11,Manager,HR Operations Manager (Employee Onboarding),Vanderbilt University Medical Center,3.8,"Nashville, TN",Unknown,Not Remote
15, Tennessee,Nashville,11,Manager,Qdoba District Manager,Qdoba,3.5,"Nashville, TN",Unknown,Not Remote
16, Tennessee,Nashville,11,Manager,Regional Training Manager,Brink's Incorporated,3.3,"Nashville, TN",Unknown,Not Remote
17, Tennessee,Nashville,11,Manager,Manager On Duty,The Turnip Truck,3.6,"Nashville, TN",Unknown,Not Remote
