,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Texas,Houston,11,Facilities Manager,Facilities Operations Manager Relocation,Confidential,,"Houston, TX",Unknown,Not Remote
1, Texas,Houston,11,Facilities Manager,Assistant Facilities Manager (Hines@Amazon),Hines@Amazon,,"Houston, TX",Unknown,Not Remote
2, Texas,Houston,11,Facilities Manager,"Director of Facilities - Relocation assistance to Yuma, AZ",Yuma Regional Medical Center,3.8,United States,"$110,000 - $150,000 a year",Not Remote
3, Texas,Houston,11,Facilities Manager,Maintenance Supervisor,Carroll Management Group,3.1,"Houston, TX",$21 - $27 an hour,Not Remote
4, Texas,Houston,11,Facilities Manager,Director of Facilities,Rice University,4.2,"Houston, TX","$120,000 - $130,000 a year",Not Remote
5, Texas,Houston,11,Facilities Manager,Assistant Facilities Manager (Hines@Amazon),Hines,4.1,"Houston, TX",Unknown,Not Remote
6, Texas,Houston,11,Facilities Manager,Director of Facilities (21-22),IDEA Public Schools,3.2,"Houston, TX","$73,955 - $90,225 a year",Not Remote
7, Texas,Houston,11,Facilities Manager,Assistant Facilities Manager (Hines@Amazon),Hines@Amazon,,"Houston, TX",Unknown,Not Remote
8, Texas,Houston,11,Facilities Manager,ASSISTANT PUBLIC WORKS MAINTENANCE MANAGER /WWO,"City of Houston, TX",3.8,"Houston, TX","$5,311 - $6,042 a month",Not Remote
9, Texas,Houston,11,Facilities Manager,Facilities Supervisor,"Metropolitan Transit Authority of Houston, Texas",3.3,"Houston, TX",Unknown,Not Remote
10, Texas,Houston,11,Facilities Manager,Maintenance Manager - Cullen Oaks,American Campus Communities,3.5,"Houston, TX",Unknown,Not Remote
11, Texas,Houston,11,Facilities Manager,District Manager,Valet Living,3.1,"Houston, TX",Unknown,Not Remote
12, Texas,Houston,11,Facilities Manager,Operations and Maintenance Supervisor,GHD,3.7,"Houston, TX",Unknown,Not Remote
13, Texas,Houston,11,Facilities Manager,Assistant Service Manager,Knightvest Residential,,"Houston, TX",Unknown,Not Remote
14, Texas,Houston,11,Facilities Manager,Director of Engineering,Blossom Hotel Medical Center,,"Houston, TX",Unknown,Not Remote
15, Texas,Houston,11,Facilities Manager,Chief Engineer,Island Hospitality,2.8,"Houston, TX",Unknown,Not Remote
16, Texas,Houston,11,Facilities Manager,Maintenance Director,Wood Residential,3.2,"Houston, TX",$28 - $29 an hour,Not Remote
17, Texas,Houston,11,Facilities Manager,Maintenance Coordinator,Richfield Real Estate Corporation,,"Houston, TX",Unknown,Not Remote
18, Texas,Houston,11,Facilities Manager,Maintenance Supervisor,Pinnacle Property Management Services,2.7,"Houston, TX",Unknown,Not Remote
19, Texas,Houston,11,Facilities Manager,Maintenance Supervisor,Carroll Management Group,3.1,"Houston, TX",$21 - $27 an hour,Not Remote
20, Texas,Houston,11,Facilities Manager,Assistant Maintenance Supervisor,The Life Properties,3.2,"Houston, TX",Unknown,Not Remote
21, Texas,Houston,11,Facilities Manager,Maintenance Supervisor,Topaz Asset Management,,"Houston, TX",$18 - $25 an hour,Not Remote
22, Texas,Houston,11,Facilities Manager,Service Manager,Marquette Management,3.9,"Houston, TX",Unknown,Not Remote
23, Texas,Houston,11,Facilities Manager,Assistant Maintenance Supervisor,Portico Property Management,4.1,"Houston, TX",$19 - $21 an hour,Not Remote
24, Texas,Houston,11,Facilities Manager,Maintenance Director,GPI Real Estate management,,"Houston, TX",Unknown,Not Remote
25, Texas,Houston,11,Facilities Manager,Maintenance Supervisor,WGA Legacy Property Management,,"Houston, TX",$18 - $22 an hour,Not Remote
26, Texas,Houston,11,Facilities Manager,Grounds Maintenance Supervisor,"Gulf Breeze Landscaping, LLC",,"Pasadena, TX",$18 - $20 an hour,Not Remote
27, Texas,Houston,11,Facilities Manager,Maintenance Supervisor,Lincoln Property Company,3.6,"Houston, TX",Unknown,Not Remote
28, Texas,Houston,11,Facilities Manager,Maintenance Supervisor,Carroll Management Group LLC,3.1,"Houston, TX",Unknown,Not Remote
29, Texas,Houston,11,Facilities Manager,"Assistant Maintenance Supervisor, Property Operations",Midway,3.9,"Houston, TX",Unknown,Not Remote
30, Texas,Houston,11,Facilities Manager,Multifamily Maintenance Supervisor,The Village at Bellaire,,"Houston, TX",Unknown,Not Remote
31, Texas,Houston,11,Facilities Manager,Lead Maintenance Technician - Garden City Apartments,Monroe Group Ltd.,,"Houston, TX",$20 - $21 an hour,Not Remote
32, Texas,Houston,11,Facilities Manager,Maintenance Supervisor,Simpson Housing LLLP,3.9,"Houston, TX",Unknown,Not Remote
33, Texas,Houston,11,Facilities Manager,Apartment Maintenance Supervisor - MAA Park Point,MAA,3.5,"Houston, TX",Unknown,Not Remote
34, Texas,Houston,11,Facilities Manager,Apartment Lead Maintenance (HVAC),Adara Communities - Domain at Kirby (Mid-Rise),,"Houston, TX",Unknown,Not Remote
35, Texas,Houston,11,Facilities Manager,Maintenance Supervisor,Pinnacle Property Management Services,2.7,"Houston, TX",Unknown,Not Remote
36, Texas,Houston,11,Facilities Manager,Maintenance Supervisor,Bluestone Properties,3.3,"Houston, TX",Unknown,Not Remote
37, Texas,Houston,11,Facilities Manager,Corporate Director of Maintenance (Contract),Regency Integrated Health Services,2.5,Texas,Unknown,Not Remote
0, Texas,Houston,11,Funeral Home Managers,Funeral Services Assistant,"SCI Shared Resources, LLC",3.1,"Houston, TX",Unknown,Not Remote
1, Texas,Houston,11,Funeral Home Managers,Funeral Director,Dogwood Services,,"Houston, TX","$46,001 - $64,001 a year",Not Remote
2, Texas,Houston,11,Funeral Home Managers,Family Service Rookie (Hispana),"SCI Shared Resources, LLC",3.1,"Houston, TX",Unknown,Not Remote
3, Texas,Houston,11,Funeral Home Managers,MGR General Funeral Locations,"SCI Shared Resources, LLC",3.1,"Houston, TX",Unknown,Not Remote
4, Texas,Houston,11,Funeral Home Managers,Family Service Rookie (Hispana),"SCI Shared Resources, LLC",3.1,"Houston, TX",Unknown,Not Remote
5, Texas,Houston,11,Funeral Home Managers,Construction Manager (SHOU),CastleRock Communities,3.1,"Houston, TX","$40,000 - $60,000 a year",Not Remote
6, Texas,Houston,11,Funeral Home Managers,PMO Senior Project Manager,"SCI Shared Resources, LLC",3.1,"Houston, TX",Unknown,Not Remote
7, Texas,Houston,11,Funeral Home Managers,Family Service Trainee (major markets),"SCI Shared Resources, LLC",3.1,"Houston, TX",Unknown,Not Remote
0, Texas,Houston,11,Manager,Wireless District Manager,Premium Retail Services,3.3,"Houston, TX","$80,000 - $100,000 a year",Not Remote
1, Texas,Houston,11,Manager,Restaurant Manager,Traveler's Table,,"Houston, TX","$60,000 - $80,000 a year",Not Remote
2, Texas,Houston,11,Manager,Store Manager,Shake Shack,3.6,"Houston, TX","$66,200 - $86,000 a year",Not Remote
3, Texas,Houston,11,Manager,Wireless District Manager,Premium Retail Services,3.3,"Houston, TX","$80,000 - $100,000 a year",Not Remote
4, Texas,Houston,11,Manager,Manager,Apple,4.2,"Houston, TX",Unknown,Not Remote
5, Texas,Houston,11,Manager,Full-Time Assistant Store Manager,ALDI,3.4,"Houston, TX",$20 an hour,Not Remote
6, Texas,Houston,11,Manager,"Area Manager, Amazon (Military Veterans Encouraged to Apply)",Amazon.com Services LLC,3.5,"Houston, TX",Unknown,Not Remote
7, Texas,Houston,11,Manager,Restaurant Manager,Traveler's Table,,"Houston, TX","$60,000 - $80,000 a year",Not Remote
8, Texas,Houston,11,Manager,Guest Experience Manager,Club Quarters,3.2,"Houston, TX",Unknown,Not Remote
9, Texas,Houston,11,Manager,Manager in Training,G Agency,,"Houston, TX","$43,000 - $87,000 a year",Temporarily remote
10, Texas,Houston,11,Manager,Manager II,Health & Human Services Comm,3.4,"Houston, TX","$4,599 - $7,533 a month",Not Remote
11, Texas,Houston,11,Manager,HSE Manager,Confidential,,"Houston, TX",Unknown,Not Remote
12, Texas,Houston,11,Manager,ASSISTANT PUBLIC WORKS MAINTENANCE MANAGER /WWO,"City of Houston, TX",3.8,"Houston, TX","$5,311 - $6,042 a month",Not Remote
13, Texas,Houston,11,Manager,"Manager, Maintenance Support Services",METRO -Metropolitan Transit Authority of Harris Co...,,"Houston, TX","$83,000 - $95,000 a year",Not Remote
14, Texas,Houston,11,Manager,District Sales Manager,Yumi Ice Cream,3.2,"Houston, TX","$65,000 - $75,000 a year",Not Remote
15, Texas,Houston,11,Manager,Solar Sales/Sales Manager,Modern Brokers of America,,"Houston, TX","$242,000 - $445,600 a year",Not Remote
16, Texas,Houston,11,Manager,IT Manager,InterContinental Hotels Group,4.1,"Houston, TX",Unknown,Not Remote
17, Texas,Houston,11,Manager,Front Desk Manager Westin Downtown Houston,The Westin Houston Downtown,3.2,"Houston, TX",Unknown,Not Remote
18, Texas,Houston,11,Manager,Health Engagement Manager,Cigna,3.7,"Houston, TX",Unknown,Not Remote
19, Texas,Houston,11,Manager,Restaurant General Manager,Goode Company Restaurants,3.4,"Houston, TX","$70,000 - $90,000 a year",Not Remote
20, Texas,Houston,11,Manager,Fulfillment Center Supervisor,Staples,3.5,"Houston, TX",Unknown,Not Remote
21, Texas,Houston,11,Manager,Office Manager and Bookkeeper,Skyline Rentals,,"Houston, TX","Up to $1,000 a week",Not Remote
22, Texas,Houston,11,Manager,Manager - Internal Communications,Harris Health System,3.8,"Houston, TX",Unknown,Not Remote
23, Texas,Houston,11,Manager,Clinic Manager,Aspire Allergy & Sinus,3.6,"Houston, TX","From $48,000 a year",Not Remote
24, Texas,Houston,11,Manager,Warehouse Manager/Supervisor,Biotex Inc.,,"Houston, TX",Unknown,Not Remote
25, Texas,Houston,11,Manager,Front Office Manager,AC Hotel by Marriott Downtown Houston,,"Houston, TX",Unknown,Not Remote
26, Texas,Houston,11,Manager,Customer Service Manager,Meliora,2.0,"Houston, TX","$32,580 - $62,100 a year",Not Remote
27, Texas,Houston,11,Manager,Assistant General Manager,Loro Houston,,"Houston, TX",Unknown,Not Remote
28, Texas,Houston,11,Manager,General Manager,Crowne Plaza Houston Near Reliant - Medical,3.8,"Houston, TX",Unknown,Not Remote
29, Texas,Houston,11,Manager,"Manager, Patient Access Service - Main Registration",Houston Methodist,4.2,"Houston, TX",Unknown,Not Remote
30, Texas,Houston,11,Manager,"GM, FOH Managers, AKM Manager",Federal Grill,,"Houston, TX","$45,000 - $75,000 a year",Not Remote
31, Texas,Houston,11,Manager,CAT Solar CADD Manager / Leader Houston,LT Technology Services,4.0,"Houston, TX",Unknown,Not Remote
32, Texas,Houston,11,Manager,Sr Manager HR Investigations,Waste Management,3.4,"Houston, TX",Unknown,Not Remote
33, Texas,Houston,11,Manager,Logistics Manager,PQ Corporation,3.4,"Houston, TX",Unknown,Not Remote
34, Texas,Houston,11,Manager,Area Sales Manager,Capital One - US,3.9,"Houston, TX",Unknown,Remote
35, Texas,Houston,11,Manager,Practice Manager - Hobby,VillageMD,4.0,"Houston, TX",Unknown,Not Remote
36, Texas,Houston,11,Manager,Service Manager,TOFF of Houston LLC,,"Houston, TX","From $72,000 a year",Not Remote
37, Texas,Houston,11,Manager,Store Manager,Guanajuato Supermarket,,"Houston, TX","$68,000 a year",Not Remote
38, Texas,Houston,11,Manager,Supply Chain Manager,Confidential,,"Houston, TX",Unknown,Remote
39, Texas,Houston,11,Manager,Assistant Community Manager,Greystar,3.6,"Houston, TX",Unknown,Not Remote
40, Texas,Houston,11,Manager,Franchised Food & Beverage Outlets Manager,"Marriott International, Inc",4.1,"Houston, TX",Unknown,Remote
41, Texas,Houston,11,Manager,Branch Manager,Brightview,3.3,"Houston, TX",Unknown,Not Remote
42, Texas,Houston,11,Manager,Institutional Giving Manager,The Salvation Army,3.9,"Houston, TX",Unknown,Not Remote
43, Texas,Houston,11,Manager,Assistant Manager - Famous Footwear,Famous Footwear,3.7,"Houston, TX",Unknown,Not Remote
44, Texas,Houston,11,Manager,Digital Manager - Studio,Waste Management,3.4,"Houston, TX",Unknown,Not Remote
45, Texas,Houston,11,Manager,Manager of Wellness Services,Houston Methodist,4.2,"Houston, TX",Unknown,Not Remote
46, Texas,Houston,11,Manager,Lead HR Generalist (Full-Time) Marriott Marquis Houston Downtown,"Marriott International, Inc",4.1,"Houston, TX",Unknown,Remote
47, Texas,Houston,11,Manager,Operations Manager,Pacific Dental Services,2.9,"Houston, TX",Unknown,Not Remote
48, Texas,Houston,11,Manager,Corporate Operations Manager,"Phoenix Management, Inc.",,"Houston, TX","$75,000 - $80,000 a year",Not Remote
49, Texas,Houston,11,Manager,Distribution Manager,Service Wire Company,3.1,"Houston, TX",Unknown,Not Remote
50, Texas,Houston,11,Manager,IT Manager,IHG CN,,"Houston, TX",Unknown,Not Remote
51, Texas,Houston,11,Manager,"Asset Protection Manager, Houston Galleria",Louis Vuitton,3.8,"Houston, TX",Unknown,Not Remote
52, Texas,Houston,11,Manager,Key Account Manager,James Walker North America,,"Houston, TX","$75,000 - $95,000 a year",Remote
53, Texas,Houston,11,Manager,Service Manager,TOFF of Houston LLC,,"Houston, TX","From $72,000 a year",Not Remote
54, Texas,Houston,11,Manager,Lien Payment Manager,ARCHER Systems,2.4,"Houston, TX",Unknown,Not Remote
55, Texas,Houston,11,Manager,Restaurant General Manager,Shake Shack,3.6,"Houston, TX","$66,200 - $86,000 a year",Not Remote
0, Texas,Houston,11,Personal Service Managers,Spa Director,All Is Well Massage & Spa,3.4,"Houston, TX","$45,000 - $55,000 a year",Not Remote
1, Texas,Houston,11,Personal Service Managers,Order Fulfillment Associate,She's Happy Hair,,"Houston, TX",$11 - $13 an hour,Not Remote
2, Texas,Houston,11,Personal Service Managers,Landscape Consultant,Lawn Management Company,,"Houston, TX",Unknown,Not Remote
3, Texas,Houston,11,Personal Service Managers,Office Associate,Meneses Law,,"Houston, TX",$8 - $10 an hour,Not Remote
4, Texas,Houston,11,Personal Service Managers,Cardiovascular Ultrasound Specialist,Medical Metrics,5.0,"Houston, TX","$60,000 - $70,000 a year",Not Remote
5, Texas,Houston,11,Personal Service Managers,RN for Home Health $7500 Sign on bonus,Home Care Providers of Texas Inc.,3.3,"Houston, TX","Up to $80,000 a year",Not Remote
6, Texas,Houston,11,Personal Service Managers,Imaging Services Manager,Medical Metrics,5.0,"Houston, TX",Unknown,Not Remote
7, Texas,Houston,11,Personal Service Managers,Customer Service Representative I,Houston Methodist,4.2,"Houston, TX",Unknown,Not Remote
8, Texas,Houston,11,Personal Service Managers,Custodial Service Representative(CSR),"Miraculous Maidz, LLC.",,"Houston, TX",$15 - $30 an hour,Not Remote
9, Texas,Houston,11,Personal Service Managers,Sales Associate Trainee,Adorn! Management Group,,"Houston, TX","$3,500 - $4,000 a month",Not Remote
10, Texas,Houston,11,Personal Service Managers,HR Service Representative,ETC Houston,4.7,"Houston, TX","$42,000 - $45,000 a year",Not Remote
11, Texas,Houston,11,Personal Service Managers,Order Fulfillment Associate,She's Happy Hair,,"Houston, TX",$11 - $13 an hour,Not Remote
12, Texas,Houston,11,Personal Service Managers,Front Desk Representative,Fondren Orthopedic Group LLP,3.4,"Houston, TX",$13 - $16 an hour,Not Remote
13, Texas,Houston,11,Personal Service Managers,Merchandiser (FT/Days/SEASONAL) - Core Force,PepsiCo,3.8,"Houston, TX",$16.50 an hour,Not Remote
14, Texas,Houston,11,Personal Service Managers,CUSTODIAN - PT - Night,"ISS Facility Services, Inc.",3.6,"Houston, TX",Unknown,Not Remote
15, Texas,Houston,11,Personal Service Managers,Event Marketing Assistant,"HTX Management Group, INC",,"Houston, TX","$320 - $1,000 a week",Not Remote
16, Texas,Houston,11,Personal Service Managers,Production Worker,Mauser Packaging Solutions,3.2,"Houston, TX",Unknown,Not Remote
17, Texas,Houston,11,Personal Service Managers,ADMINISTRATIVE ASSISTANT (FRONT DESK),"Frazer, LTD",3.5,"Houston, TX",$17.50 - $25.00 an hour,Not Remote
18, Texas,Houston,11,Personal Service Managers,Supervisor of Customer Service (Call Center),Houston Methodist,4.2,"Houston, TX",Unknown,Not Remote
19, Texas,Houston,11,Personal Service Managers,Mission Support Specialist,US Department of Homeland Security,3.8,"Houston, TX","$46,083 - $59,907 a year",Not Remote
20, Texas,Houston,11,Personal Service Managers,"SUPV, CASE MANAGERS","The GEO Group, Inc.",2.9,"Houston, TX",Unknown,Not Remote
21, Texas,Houston,11,Personal Service Managers,Residential Customer Service Representative,"Bettencourt Tax Advisors, LLC",3.0,"Houston, TX",$13 - $20 an hour,Not Remote
22, Texas,Houston,11,Personal Service Managers,Associate Operator-Shift,Colonial Pipeline Company,3.9,"Houston, TX",Unknown,Not Remote
23, Texas,Houston,11,Personal Service Managers,Field Service Technician/Engineer,Bray Sales Inc.,,"Houston, TX",$30 - $40 an hour,Not Remote
24, Texas,Houston,11,Personal Service Managers,Customer Service Associate,WALGREENS,3.6,"Jacinto City, TX",Unknown,Not Remote
25, Texas,Houston,11,Personal Service Managers,Concierge,FirstService Residential,3.4,"Houston, TX",Unknown,Not Remote
26, Texas,Houston,11,Personal Service Managers,Senior Operator,Colonial Pipeline Company,3.9,"Houston, TX",Unknown,Not Remote
27, Texas,Houston,11,Personal Service Managers,House Cleaner,Oracle Cleaning Services,,"Houston, TX",$12 - $13 an hour,Not Remote
28, Texas,Houston,11,Personal Service Managers,Key Leader,Lululemon,4.2,"Houston, TX",Unknown,Not Remote
29, Texas,Houston,11,Personal Service Managers,Administrative Assistant,ABM,3.2,"Houston, TX",From $14.50 an hour,Not Remote
30, Texas,Houston,11,Personal Service Managers,Production Worker,MAUSER,3.2,"Houston, TX",Unknown,Not Remote
31, Texas,Houston,11,Personal Service Managers,Office Associate,Meneses Law,,"Houston, TX",$8 - $10 an hour,Not Remote
32, Texas,Houston,11,Personal Service Managers,Front Desk Patient Liaison,MEMORIAL MRI & DIAGNOSTIC MSO LLC,,"Houston, TX",Unknown,Not Remote
33, Texas,Houston,11,Personal Service Managers,Tire Service Advisor,Dealer Tire LLC,,"Houston, TX",From $23 an hour,Not Remote
34, Texas,Houston,11,Personal Service Managers,"Hardware Support Specialist- Downtown, Houston, TX",Harris County Tax Office,3.6,"Houston, TX",$22 an hour,Temporarily remote
35, Texas,Houston,11,Personal Service Managers,Morning Team Member,Dunkin' Donuts,,"Houston, TX",$7.25 - $8.00 an hour,Not Remote
36, Texas,Houston,11,Personal Service Managers,Electronic Health Records Coordinator,Doctor On Demand,2.6,"Houston, TX",Unknown,Remote
37, Texas,Houston,11,Personal Service Managers,Assistant Manager - Self-Storage - Part-Time,Security Self Storage,,"Houston, TX",$12 an hour,Not Remote
38, Texas,Houston,11,Personal Service Managers,CUSTODIAN - PT - Night,"ISS Facility Services, Inc.",3.6,"Bellaire, TX",Unknown,Not Remote
39, Texas,Houston,11,Personal Service Managers,Procurement Clerk,The Houston Housing Authority,,"Houston, TX",Unknown,Not Remote
40, Texas,Houston,11,Personal Service Managers,Front Dest Receptionist,The Briar Club,4.0,"Houston, TX",$16 an hour,Not Remote
41, Texas,Houston,11,Personal Service Managers,Valet Service Attendant,Drip Coffee Cafe,,"Houston, TX",$10 - $15 an hour,Not Remote
42, Texas,Houston,11,Personal Service Managers,Front Office Manager,AC Hotel by Marriott Downtown Houston,,"Houston, TX",Unknown,Not Remote
43, Texas,Houston,11,Personal Service Managers,Director of Facilities,Rice University,4.2,"Houston, TX","$120,000 - $130,000 a year",Not Remote
44, Texas,Houston,11,Personal Service Managers,AP Specialist,"RigNet, Inc",,"Houston, TX",Unknown,Not Remote
45, Texas,Houston,11,Personal Service Managers,Program Facilitator - Healthy Aging,Harris County,3.7,"Houston, TX",Unknown,Not Remote
46, Texas,Houston,11,Personal Service Managers,CUSTODIAN - PT - Night,"ISS Facility Services, Inc.",3.6,"Houston, TX",Unknown,Not Remote
47, Texas,Houston,11,Personal Service Managers,US Customs Specialist with FTA,Siemens,4.0,"Houston, TX",Unknown,Not Remote
48, Texas,Houston,11,Personal Service Managers,Coordinator Business Operations,"Baylor College of Medicine (BCM) - Immunology, All...",,"Houston, TX",$18.00 - $22.50 an hour,Not Remote
49, Texas,Houston,11,Personal Service Managers,Retail Sales Associate,Ricky Malone,,"Houston, TX","$32,000 - $45,000 a year",Not Remote
50, Texas,Houston,11,Personal Service Managers,Area Sales Manager,Capital One - US,3.9,"Houston, TX",Unknown,Remote
51, Texas,Houston,11,Personal Service Managers,"Small Business Consultant - Blackhawk FC- Houston, TX",Bank of America,3.8,"Houston, TX",Unknown,Not Remote
52, Texas,Houston,11,Personal Service Managers,Sr Supply Chain Specialist Job,Hess Corporation,4.0,"Houston, TX",Unknown,Not Remote
53, Texas,Houston,11,Personal Service Managers,Restaurant Manager,Traveler's Table,,"Houston, TX","$60,000 - $80,000 a year",Not Remote
54, Texas,Houston,11,Personal Service Managers,Foster/Adoption Case Manager,Lonestar Social Services,3.1,"Houston, TX",Unknown,Not Remote
55, Texas,Houston,11,Personal Service Managers,Cashier/Customer Service,Pizza Birra Vino,,"Houston, TX",From $8 an hour,Not Remote
56, Texas,Houston,11,Personal Service Managers,Chief Technology Officer (CTO),NI Partners,,"Houston, TX","$112,584 - $237,445 a year",Not Remote
0, Texas,Houston,13,Financial Specialists,Licensed Financial Operations Specialist (NetXPro/ Fidelity Wealthscape),MDK Financial Group,,"Houston, TX","$72,000 - $84,000 a year",Not Remote
1, Texas,Houston,13,Financial Specialists,Front Desk Assistant/Receptionist (Houston),Orthodontic Specialist of Houston,,"Houston, TX",$9 - $21 an hour,Not Remote
2, Texas,Houston,13,Financial Specialists,Inbound Sales Rep (Remote- Home Based Worker),Allstate,3.7,"Houston, TX",$16 an hour,Remote
3, Texas,Houston,13,Financial Specialists,Commercial Real Estate Loan Officer,PSG Lending,,"Houston, TX","$60,000 - $85,000 a year",Not Remote
4, Texas,Houston,13,Financial Specialists,Work from Home Sales Rep - Entry Level,Allstate,3.7,"Houston, TX","$33,280 a year",Remote
5, Texas,Houston,13,Financial Specialists,HPL,"City of Houston, TX",3.8,"Houston, TX",$10 an hour,Not Remote
6, Texas,Houston,13,Financial Specialists,"Campus Recruiting Specialist – Risk & Financial Advisory, Dallas/Houston",Deloitte,4.0,"Houston, TX",Unknown,Not Remote
7, Texas,Houston,13,Financial Specialists,Eligibility Review Specialist- Remote (MN Project),Witt O'Brien's,4.1,"Houston, TX",Unknown,Remote
8, Texas,Houston,13,Financial Specialists,Financial Assistant,Harris County,3.7,"Houston, TX",Unknown,Not Remote
9, Texas,Houston,13,Financial Specialists,Licensed Financial Operations Specialist (NetXPro/ Fidelity Wealthscape),MDK Financial Group,,"Houston, TX","$72,000 - $84,000 a year",Not Remote
10, Texas,Houston,13,Financial Specialists,Financial Marketing Trainee,Olive Branch Financial,3.1,"Houston, TX","$32,500 - $42,500 a year",Not Remote
11, Texas,Houston,13,Financial Specialists,Editor – North American Fertilizers,Argus Media,3.4,"Houston, TX",Unknown,Not Remote
12, Texas,Houston,13,Financial Specialists,Mission Support Specialist,US Department of Homeland Security,3.8,"Houston, TX","$46,083 - $59,907 a year",Not Remote
13, Texas,Houston,13,Financial Specialists,FINANCIAL ANALYST III,"City of Houston, TX",3.8,"Houston, TX",Unknown,Not Remote
14, Texas,Houston,13,Financial Specialists,Commissions and Sales Support Financial Analyst,DJO Global,3.3,"Houston, TX",Unknown,Not Remote
15, Texas,Houston,13,Financial Specialists,AP Specialist,"RigNet, Inc",,"Houston, TX",Unknown,Not Remote
16, Texas,Houston,13,Financial Specialists,Customer Experience Specialist,Percepta,2.9,"Houston, TX",Unknown,Not Remote
17, Texas,Houston,13,Financial Specialists,Sr Supply Chain Specialist Job,Hess Corporation,4.0,"Houston, TX",Unknown,Not Remote
18, Texas,Houston,13,Financial Specialists,Patient Rep UC PRN,CareNow,3.0,"Houston, TX",Unknown,Not Remote
19, Texas,Houston,13,Financial Specialists,"Exec Office Specialist III - Houston, TX","JPMorgan Chase Bank, N.A.",3.9,"Houston, TX",Unknown,Not Remote
20, Texas,Houston,13,Financial Specialists,Client Service Specialist,Bank OZK,2.7,"Houston, TX",Unknown,Not Remote
21, Texas,Houston,13,Financial Specialists,CALL CENTER SPECIALIST-PT,Behavioral Health Connections,3.4,"Houston, TX",Unknown,Not Remote
22, Texas,Houston,13,Financial Specialists,Supply Chain & Customer Service Specialist,Hi-crush Services Llc,,"Houston, TX",Unknown,Not Remote
23, Texas,Houston,13,Financial Specialists,"Hardware Support Specialist- Downtown, Houston, TX",Harris County Tax Office,3.6,"Houston, TX",$22 an hour,Temporarily remote
24, Texas,Houston,13,Financial Specialists,"Senior Associate, Sustainability",Deloitte,4.0,"Houston, TX",Unknown,Not Remote
25, Texas,Houston,13,Financial Specialists,Career Services Specialist,Covenant House Texas,3.7,"Houston, TX","Up to $44,000 a year",Not Remote
26, Texas,Houston,13,Financial Specialists,Front Office Coordinator,Texas E N T Specialists P A A Texas Professional A...,,"Houston, TX",Unknown,Not Remote
27, Texas,Houston,13,Financial Specialists,Senior Patient Affairs Specialist,Baylor College of Medicine,3.9,"Houston, TX",Unknown,Not Remote
28, Texas,Houston,13,Financial Specialists,Accounting Specialist,The Post Oak at Uptown Houston,3.2,"Houston, TX",Unknown,Not Remote
29, Texas,Houston,13,Financial Specialists,Clinical Billing Specialist - Pathology,MD Anderson Cancer Center,4.1,"Houston, TX",Unknown,Not Remote
30, Texas,Houston,13,Financial Specialists,HSE Specialist - Field Environmental & Regulatory,Murphy Oil,3.4,"Houston, TX",Unknown,Not Remote
31, Texas,Houston,13,Financial Specialists,Chief Financial Officer,Texas Association of Community Health Centers,,"Houston, TX",Unknown,Not Remote
32, Texas,Houston,13,Financial Specialists,Scheduler I - PT/OT,Houston Methodist,4.2,"Houston, TX",Unknown,Not Remote
