,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Utah,Salt Lake City,11,Facilities Manager,Maintenance Supervisor,Blue Chip Group Inc,3.4,"Salt Lake City, UT",Unknown,Not Remote
1, Utah,Salt Lake City,11,Facilities Manager,"Director of Facilities - Relocation assistance to Yuma, AZ",Yuma Regional Medical Center,3.8,United States,"$110,000 - $150,000 a year",Not Remote
2, Utah,Salt Lake City,11,Facilities Manager,Maintenance Manager - Mountain View,Greystar,3.6,"West Valley City, UT",Unknown,Not Remote
3, Utah,Salt Lake City,11,Facilities Manager,Facilities Coordinator,Discover Financial Services,3.9,"West Valley City, UT",Unknown,Not Remote
4, Utah,Salt Lake City,11,Facilities Manager,Facilities Manager,Hammerton,2.9,"Salt Lake City, UT",Unknown,Not Remote
5, Utah,Salt Lake City,11,Facilities Manager,Maintenance Manager,Cascades Healthcare,4.5,"Millcreek, UT","$45,000 - $55,000 a year",Not Remote
6, Utah,Salt Lake City,11,Facilities Manager,Maintenance Director,Willow Wood Care Center,3.1,"Salt Lake City, UT",$19 - $24 an hour,Not Remote
7, Utah,Salt Lake City,11,Facilities Manager,Maintenance Supervisor,Blue Chip Group Inc,3.4,"Salt Lake City, UT",Unknown,Not Remote
8, Utah,Salt Lake City,11,Facilities Manager,Maintenance Supervisor,Triple-S Steel,3.3,"Salt Lake City, UT",Unknown,Not Remote
9, Utah,Salt Lake City,11,Facilities Manager,Chief Engineer OEM,Fairfield Inn & Suites Salt Lake,3.1,"Salt Lake City, UT",Unknown,Not Remote
10, Utah,Salt Lake City,11,Facilities Manager,Maintenance Supervisor,"Apartment Management Consultants, LLC",3.2,"Salt Lake City, UT",$22 - $24 an hour,Not Remote
11, Utah,Salt Lake City,11,Facilities Manager,Maintenance Supervisor - 21Lux,Greystar,3.6,"Salt Lake City, UT",Unknown,Not Remote
0, Utah,Salt Lake City,11,Manager,Lab Technician/Manager,Innovation Medical,,"Salt Lake City, UT",$28 - $32 an hour,Not Remote
1, Utah,Salt Lake City,11,Manager,Adoptions Manager,Humane Society of Utah,4.3,"Murray, UT","From $45,000 a year",Not Remote
2, Utah,Salt Lake City,11,Manager,Project Architect / Project Manager,SMH Builders,,"Salt Lake City, UT","$50,000 - $110,319 a year",Temporarily remote
3, Utah,Salt Lake City,11,Manager,Total Rewards Manager,"AgReserves, Inc.",3.7,"Salt Lake City, UT",Unknown,Temporarily remote
4, Utah,Salt Lake City,11,Manager,Industrial Sales Manager,Prime Machine Inc.,,"Salt Lake City, UT","$125,000 - $175,000 a year",Not Remote
5, Utah,Salt Lake City,11,Manager,"Asset Manager, Renewable Energy","Naturener USA, LLC",,"Salt Lake City, UT",Unknown,Not Remote
6, Utah,Salt Lake City,11,Manager,Operations Manager - Nacho Daddy Salt Lake City,Nacho Daddy,3.8,"Salt Lake City, UT","$40,000 - $45,000 a year",Not Remote
7, Utah,Salt Lake City,11,Manager,Project Manager 2,Utah Property Management Associates,,"Salt Lake City, UT","$64,000 - $75,000 a year",Not Remote
8, Utah,Salt Lake City,11,Manager,Branch Manager,FCE CORP,,"Salt Lake City, UT","$35,000 a year",Not Remote
9, Utah,Salt Lake City,11,Manager,Product Manager,Go1,,"Salt Lake City, UT","$140,000 - $200,000 a year",Not Remote
10, Utah,Salt Lake City,11,Manager,Plant Manager,Black Rifle Coffee Company,3.0,"Salt Lake City, UT",Unknown,Not Remote
11, Utah,Salt Lake City,11,Manager,Events Manager,ProfitWell,,"Salt Lake City, UT",Unknown,Not Remote
12, Utah,Salt Lake City,11,Manager,Industrial Sales Manager,Prime Machine Inc.,,"Salt Lake City, UT","$125,000 - $175,000 a year",Not Remote
13, Utah,Salt Lake City,11,Manager,Office Manager,Salt Lake County,3.5,"Salt Lake City, UT",Unknown,Not Remote
14, Utah,Salt Lake City,11,Manager,General Manager/Integrator,Paul Davis Restoration,,"Salt Lake City, UT","$125,000 - $195,000 a year",Not Remote
15, Utah,Salt Lake City,11,Manager,Manager,University of Utah,4.2,"Salt Lake City, UT","$79,600 a year",Not Remote
16, Utah,Salt Lake City,11,Manager,Manager,Red Iguana,,"Salt Lake City, UT","$48,000 - $55,000 a year",Not Remote
17, Utah,Salt Lake City,11,Manager,Office Manager,Liddell Dentistry,,"Salt Lake City, UT",$15 - $20 an hour,Not Remote
18, Utah,Salt Lake City,11,Manager,Compensation and Benefits Manager,Go1,,"Salt Lake City, UT","$80,000 - $90,000 a year",Not Remote
19, Utah,Salt Lake City,11,Manager,Adoptions Manager,Humane Society of Utah,4.3,"Murray, UT","From $45,000 a year",Not Remote
20, Utah,Salt Lake City,11,Manager,Archives Reformatting Program Manager,State of Utah,3.7,"Salt Lake County, UT",$17.22 - $30.42 an hour,Not Remote
21, Utah,Salt Lake City,11,Manager,"Program Manager, Outdoor Adventures",University of Utah,4.2,"Salt Lake City, UT","$46,100 a year",Not Remote
22, Utah,Salt Lake City,11,Manager,Team Manager,Arisa iS Energy,,"Salt Lake City, UT",$7.65 an hour,Not Remote
23, Utah,Salt Lake City,11,Manager,Production Manager,SKF,4.0,"Salt Lake City, UT",Unknown,Not Remote
