,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Vermont,Burlington,15,Actuaries,Actuarial Associate or Actuary (Remote Considered),The Standard,3.6,United States,Unknown,Remote
0, Vermont,Burlington,15,Software Quality Assurance Analyst,Mortgage Compliance Analyst,Amerisave Mortgage Corporation,2.8,United States,Unknown,Not Remote
1, Vermont,Burlington,15,Software Quality Assurance Analyst,Sr. Java Developers,TEKsystems,3.9,"Burlington, NC",Unknown,Not Remote
0, Vermont,Burlington,17,Electrical Engineering Technicians,"Control Systems Lead - Relocate to Colorado Springs, CO!",Elite Line Services,2.9,United States,$37.82 an hour,Not Remote
0, Vermont,Burlington,17,Nuclear Engineers,Nuclear Island Test Supervisor - AP1000 Initial Test Program (ITP) Team,BCP Engineers & Consultants,,United States,$70 - $90 an hour,Not Remote
0, Vermont,Burlington,17,Mechanical Engineering Technicians,Maintenance Technician,Aerotek,3.7,"Swepsonville, NC",$24.25 an hour,Not Remote
1, Vermont,Burlington,17,Mechanical Engineering Technicians,Die Casting Technician III,IDEAL Fastener Corporation,3.1,United States,From $23 an hour,Not Remote
2, Vermont,Burlington,17,Mechanical Engineering Technicians,Maintenance Trainee/Helper 3rd shift,Alamance Foods,2.8,"Burlington, NC",Unknown,Not Remote
3, Vermont,Burlington,17,Mechanical Engineering Technicians,Maintenance Trainee/Helper 3rd shift,Alamance Foods,2.8,"Burlington, NC",Unknown,Not Remote
4, Vermont,Burlington,17,Mechanical Engineering Technicians,Maintenance Trainee/Helper 3rd shift,Alamance Foods,2.8,"Graham, NC",Unknown,Not Remote
5, Vermont,Burlington,17,Mechanical Engineering Technicians,Maintenance Tech I - II,FedEx Ground Careers US,3.4,"Whitsett, NC",Unknown,Not Remote
0, Vermont,Burlington,19,Medical Scientists,"Medical Lab Scientist - Relocation to Yuma, AZ",Yuma Regional Medical Center,3.8,United States,$27 - $37 an hour,Not Remote
1, Vermont,Burlington,19,Medical Scientists,Laboratory Team Lead (Microbiology) - $$ INCLUDED $$,LabCorp,3.5,"Burlington, NC",$21 - $38 an hour,Not Remote
2, Vermont,Burlington,19,Medical Scientists,Lab Supervisor III - Chemistry - $$ INCLUDED $$,LabCorp,3.5,"Burlington, NC","$75,000 - $110,000 a year",Not Remote
3, Vermont,Burlington,19,Medical Scientists,Phlebotomy Supervisor,Labcorp,3.5,"Burlington, NC",Unknown,Not Remote
0, Vermont,Burlington,19,Food Scientist,Research Technician,Eurofins Central Laboratory,3.0,"Mebane, NC",Unknown,Not Remote
