,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Virginia,Virginia Beach,17,Electrical Engineering Technicians,Maintenance Engineer I/Electrical,City of Virginia Beach,3.8,"Virginia Beach, VA",Unknown,Not Remote
1, Virginia,Virginia Beach,17,Electrical Engineering Technicians,Field Electronic Engineer,Leidos,3.7,"Virginia Beach, VA",Unknown,Not Remote
0, Virginia,Virginia Beach,17,Nuclear Engineers,Construction Materials Technician *Entry Level*,Aerotek,3.7,"Virginia Beach, VA",$17 an hour,Not Remote
1, Virginia,Virginia Beach,17,Nuclear Engineers,Construction Field Technician,Aerotek,3.7,"Virginia Beach, VA",$17 an hour,Not Remote
2, Virginia,Virginia Beach,17,Nuclear Engineers,Nuclear Island Test Supervisor - AP1000 Initial Test Program (ITP) Team,BCP Engineers & Consultants,,United States,$70 - $90 an hour,Not Remote
3, Virginia,Virginia Beach,17,Nuclear Engineers,Construction Materials Technician (Field Technician),Aerotek,3.7,"Virginia Beach, VA",$16.50 an hour,Not Remote
4, Virginia,Virginia Beach,17,Nuclear Engineers,Engineer Systems 3,Huntington Ingalls Industries Inc.,3.8,"Virginia Beach, VA",Unknown,Not Remote
5, Virginia,Virginia Beach,17,Nuclear Engineers,Staff Technician,Draper Aden Assoc.,,"Virginia Beach, VA",Unknown,Not Remote
0, Virginia,Virginia Beach,17,Mechanical Engineering Technicians,Floor Technician,ABM Industries,3.2,"Virginia Beach, VA",Unknown,Not Remote
1, Virginia,Virginia Beach,17,Mechanical Engineering Technicians,Building Maintenance Technician,"Commonwealth Commercial Partners, LLC",,"Virginia Beach, VA",$20 - $24 an hour,Not Remote
2, Virginia,Virginia Beach,17,Mechanical Engineering Technicians,Maintenance Technician,Wyndham Virginia Beach Oceanfront,,"Virginia Beach, VA",From $12 an hour,Not Remote
3, Virginia,Virginia Beach,17,Mechanical Engineering Technicians,Project Engineer - Acquisition Engineering Agent,The Columbia Group,4.0,"Virginia Beach, VA",Unknown,Not Remote
4, Virginia,Virginia Beach,17,Mechanical Engineering Technicians,Maintenance Tech,Hyatt,4.1,"Virginia Beach, VA",Unknown,Not Remote
5, Virginia,Virginia Beach,17,Mechanical Engineering Technicians,Maintenance Tech (Part-Time),Hyatt House Virginia Beach,,"Virginia Beach, VA",Unknown,Not Remote
6, Virginia,Virginia Beach,17,Mechanical Engineering Technicians,Maintenance Tech (Full-Time),Courtyard South 25th St,,"Virginia Beach, VA",Unknown,Not Remote
7, Virginia,Virginia Beach,17,Mechanical Engineering Technicians,Building Maintenance Technician,"Commonwealth Commercial Partners, LLC",,"Virginia Beach, VA",$20 - $24 an hour,Not Remote
8, Virginia,Virginia Beach,17,Mechanical Engineering Technicians,Engineer (Maintenance)-Delta Virginia Beach Bayfront Suites,Commonwealth Lodging Management LLC,,"Virginia Beach, VA",Unknown,Not Remote
9, Virginia,Virginia Beach,17,Mechanical Engineering Technicians,Maintenance Engineer I/Electrical,City of Virginia Beach,3.8,"Virginia Beach, VA",Unknown,Not Remote
10, Virginia,Virginia Beach,17,Mechanical Engineering Technicians,Installation Manager,"JSL Technologies, Inc.",,"Virginia Beach, VA",Unknown,Not Remote
11, Virginia,Virginia Beach,17,Mechanical Engineering Technicians,Maintenance Tech,Hyatt,4.1,"Virginia Beach, VA",Unknown,Not Remote
12, Virginia,Virginia Beach,17,Mechanical Engineering Technicians,Maintenance Tech (Full-Time),Hyatt House Virginia Beach,,"Virginia Beach, VA",Unknown,Not Remote
0, Virginia,Virginia Beach,29,Health Technologists,Clinical Research Coordinator,Urology of Virginia PLLC,,"Virginia Beach, VA",Unknown,Not Remote
1, Virginia,Virginia Beach,29,Health Technologists,Research Recovery Associate,LifeNet Health,3.5,"Virginia Beach, VA",Unknown,Not Remote
2, Virginia,Virginia Beach,29,Health Technologists,Medical Assistant- Naval Base,Luke & Associates,3.8,"Dam Neck, VA",Unknown,Not Remote
3, Virginia,Virginia Beach,29,Health Technologists,X-ray Supervisor,Patient First,3.9,"Virginia Beach, VA",Unknown,Not Remote
4, Virginia,Virginia Beach,29,Health Technologists,CAT SCAN TECHNOLOGIST- SVBGH/ VA Beach - Premium Flexi / Rotating,Sentara Healthcare,3.8,"Virginia Beach, VA",$31 an hour,Not Remote
5, Virginia,Virginia Beach,29,Health Technologists,Clinical Research Coordinator,Urology of Virginia PLLC,,"Virginia Beach, VA",Unknown,Not Remote
6, Virginia,Virginia Beach,29,Health Technologists,Research Recovery Associate,LifeNet Health,3.5,"Virginia Beach, VA",Unknown,Not Remote
7, Virginia,Virginia Beach,29,Health Technologists,Surgical Technologist,Sentara Healthcare,3.8,"Virginia Beach, VA",Unknown,Not Remote
8, Virginia,Virginia Beach,29,Health Technologists,Polysomnographic Technologist,Virginia Neurology & Sleep Centers,,Virginia,$600 - $900 a week,Not Remote
9, Virginia,Virginia Beach,29,Health Technologists,Surgical Assistant,American Surgical Professionals,3.4,United States,$40 - $80 an hour,Not Remote
10, Virginia,Virginia Beach,29,Health Technologists,MEDICAL ASSISTANT,Luke & Associates,3.8,"Virginia Beach, VA",Unknown,Not Remote
11, Virginia,Virginia Beach,29,Health Technologists,Travel Mobile Radiologic Technologist,Dynamic Mobile Imaging,,Virginia,From $28 an hour,Not Remote
0, Virginia,Virginia Beach,29,Healthcare Practitioners ,Claims Processor,Aerotek,3.7,"Virginia Beach, VA",$18 an hour,Not Remote
1, Virginia,Virginia Beach,29,Healthcare Practitioners ,Military Family Life Counselor,Magellan Health,3.5,"Fort Story, VA",Unknown,Not Remote
2, Virginia,Virginia Beach,29,Healthcare Practitioners ,Surgical Assistant,American Surgical Professionals,3.4,United States,$40 - $80 an hour,Not Remote
3, Virginia,Virginia Beach,29,Healthcare Practitioners ,Medical Assistant,Sentara Healthcare,3.8,"Virginia Beach, VA",Unknown,Not Remote
4, Virginia,Virginia Beach,29,Healthcare Practitioners ,Medical Assistant,Sentara Healthcare,3.8,"Virginia Beach, VA",Unknown,Remote
5, Virginia,Virginia Beach,29,Healthcare Practitioners ,Military Family Life Counselor,Magellan Health,3.5,"Fort Story, VA",Unknown,Not Remote
6, Virginia,Virginia Beach,29,Healthcare Practitioners ,Military Family Life Counselor,Magellan Health,3.5,"Virginia Beach, VA",Unknown,Not Remote
7, Virginia,Virginia Beach,29,Healthcare Practitioners ,Talent Acquisition Consultant (contract),Anthem,3.7,"Virginia Beach, VA",Unknown,Not Remote
8, Virginia,Virginia Beach,29,Healthcare Practitioners ,Military Family Life Counselor,Magellan Health,3.5,"Virginia Beach, VA",Unknown,Not Remote
9, Virginia,Virginia Beach,29,Healthcare Practitioners ,"RN, Nursing Development Generalist (RN Educator)",Sentara Healthcare,3.8,"Virginia Beach, VA",Unknown,Not Remote
10, Virginia,Virginia Beach,29,Healthcare Practitioners ,Military Family Life Counselor,Magellan Health,3.5,"Fort Story, VA",Unknown,Not Remote
11, Virginia,Virginia Beach,29,Healthcare Practitioners ,Medical Assistant,Sentara Healthcare,3.8,"Virginia Beach, VA",Unknown,Not Remote
