,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Washington,Seattle,11,Facilities Manager,Facilities Manager - Seattle,Pandemic Response Lab,,"Seattle, WA",Unknown,Not Remote
1, Washington,Seattle,11,Facilities Manager,Chief Engineer,Columbia Hospitality,3.2,"Seattle, WA","$110,000 - $120,000 a year",Not Remote
2, Washington,Seattle,11,Facilities Manager,Apartment Maintenance Technician ** Experienced *Lead Position** – Seattle,NWCREI,,"Seattle, WA",From $24 an hour,Not Remote
3, Washington,Seattle,11,Facilities Manager,Facilities Manager,Copiers Northwest,3.3,"Seattle, WA",From $30 an hour,Not Remote
4, Washington,Seattle,11,Facilities Manager,Facilities Site Manager,OpenMarket,3.7,"Seattle, WA",Unknown,Not Remote
5, Washington,Seattle,11,Facilities Manager,Senior Regional Facilities Manager (Hines@Amazon),Hines,4.1,"Seattle, WA",Unknown,Not Remote
6, Washington,Seattle,11,Facilities Manager,Facilities Manager - Seattle,Pandemic Response Lab,,"Seattle, WA",Unknown,Not Remote
7, Washington,Seattle,11,Facilities Manager,Senior Facilities Manager,JLL,3.7,"Seattle, WA",Unknown,Not Remote
8, Washington,Seattle,11,Facilities Manager,Chief Engineer,Columbia Hospitality,3.2,"Seattle, WA","$110,000 - $120,000 a year",Not Remote
9, Washington,Seattle,11,Facilities Manager,Office Services/Facilities Coordinator,Keller Rohrback L.L.P.,,"Seattle, WA",Unknown,Not Remote
10, Washington,Seattle,11,Facilities Manager,Complex Chief Engineer - Monaco Seattle,Kimpton Hotels and Restaurants,4.0,"Seattle, WA",Unknown,Not Remote
11, Washington,Seattle,11,Facilities Manager,Facilities Manager,LAZ Parking,3.6,"Seattle, WA",Unknown,Not Remote
12, Washington,Seattle,11,Facilities Manager,Maintenance Supervisor - Union Park Apartment,Thrive Communities,3.6,"Seattle, WA",$26 an hour,Not Remote
13, Washington,Seattle,11,Facilities Manager,Maintenance Supervisor,Providence,3.9,"Seattle, WA",Unknown,Not Remote
14, Washington,Seattle,11,Facilities Manager,Assistant Maintenance Manager,Mack Property Management LP,,"Seattle, WA",Unknown,Not Remote
15, Washington,Seattle,11,Facilities Manager,Intelligent Transportation System (ITS) Electronics Supervisor,State of Washington Dept. of Transportation,3.4,"Seattle, WA","$69,224 - $93,076 a year",Not Remote
16, Washington,Seattle,11,Facilities Manager,Maintenance Supervisor,Mauser Packaging Solutions,3.2,"Seattle, WA",Unknown,Not Remote
17, Washington,Seattle,11,Facilities Manager,Director of Facilities Management - PRN,Fire Door Solutions LLC,,"Seattle, WA",Unknown,Not Remote
18, Washington,Seattle,11,Facilities Manager,Maintenance Supervisor,MAUSER,3.2,"Seattle, WA",Unknown,Not Remote
19, Washington,Seattle,11,Facilities Manager,Maintenance Director,Wood Residential,3.2,"Seattle, WA",Unknown,Not Remote
20, Washington,Seattle,11,Facilities Manager,Apartment Maintenance Supervisor (Roving),Low Income Housing Institute,2.9,"Seattle, WA",Unknown,Not Remote
21, Washington,Seattle,11,Facilities Manager,Maintenance Supervisor - The Row Apartments,Thrive Communities,3.6,"Bellevue, WA",Up to $26 an hour,Not Remote
22, Washington,Seattle,11,Facilities Manager,Maintenance Supervisor | Beacon View,"Avenue5 Residential, LLC",3.1,"Seattle, WA",Unknown,Not Remote
23, Washington,Seattle,11,Facilities Manager,Maintenance Supervisor | Voda and Lux Apartments,"Avenue5 Residential, LLC",3.1,"Bellevue, WA",Unknown,Not Remote
24, Washington,Seattle,11,Facilities Manager,Apartment Maintenance Technician ** Experienced *Lead Position** – Seattle,NWCREI,,"Seattle, WA",From $24 an hour,Not Remote
25, Washington,Seattle,11,Facilities Manager,Maintenance Supervisor | BEAM,"Avenue5 Residential, LLC",3.1,"Seattle, WA",Unknown,Not Remote
26, Washington,Seattle,11,Facilities Manager,Maintenance Supervisor | CREW Apartments,"Avenue5 Residential, LLC",3.1,"Seattle, WA",Unknown,Not Remote
27, Washington,Seattle,11,Facilities Manager,Intelligent Transportation System (ITS) Electronics Supervisor,State of Washington,3.4,"Seattle, WA",Unknown,Not Remote
28, Washington,Seattle,11,Facilities Manager,Senior Regional Facilities Manager (Hines@Amazon),Hines,4.1,"Seattle, WA",Unknown,Not Remote
