,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Wisconsin,Milwaukee,13,Tax Preparer,Milwaukee - Tax Preparer,Jackson Hewitt,4.1,"Milwaukee, WI",Unknown,Not Remote
1, Wisconsin,Milwaukee,13,Tax Preparer,Greenfield - Tax Preparer,Jackson Hewitt,4.1,"Greenfield, WI",Unknown,Not Remote
2, Wisconsin,Milwaukee,13,Tax Preparer,Franklin - Tax Preparer,Jackson Hewitt,4.1,"Franklin, WI",Unknown,Not Remote
0, Wisconsin,Milwaukee,15,Data Scientists,"AI/ML - Annotation Analyst, Hebrew Language",Apple,4.2,United States,Unknown,Temporarily remote
1, Wisconsin,Milwaukee,15,Data Scientists,Data Migration Architect,CyberCoders,3.3,"Milwaukee, WI","$120,000 - $140,000 a year",Not Remote
2, Wisconsin,Milwaukee,15,Data Scientists,Data Analyst,GalaxE.Solutions,2.5,"Milwaukee, WI",Unknown,Remote
3, Wisconsin,Milwaukee,15,Data Scientists,Program Manager - Data Science & Analytics,Northwestern Mutual,3.8,"Milwaukee, WI",Unknown,Not Remote
4, Wisconsin,Milwaukee,15,Data Scientists,Climate Data Scientist - Senior Manager,Deloitte,4.0,"Milwaukee, WI",Unknown,Not Remote
5, Wisconsin,Milwaukee,15,Data Scientists,Senior Data Architect,Direct Supply,4.0,"Milwaukee, WI",Unknown,Not Remote
6, Wisconsin,Milwaukee,15,Data Scientists,Data Science Manager - Fraud,U.S. Bank,3.6,"Milwaukee, WI",Unknown,Not Remote
7, Wisconsin,Milwaukee,15,Data Scientists,Power BI / Dynamics NAV Senior Data Analyst,Bravent,,"Milwaukee, WI",Unknown,Not Remote
8, Wisconsin,Milwaukee,15,Data Scientists,"Data Governance and Quality – Analytics & Cognitive, Consultant",Deloitte,4.0,"Milwaukee, WI",Unknown,Not Remote
9, Wisconsin,Milwaukee,15,Data Scientists,"Data Engineer, Analytics & Cognitive - Senior Consultant (SQL/Python)",Deloitte,4.0,"Milwaukee, WI",Unknown,Not Remote
10, Wisconsin,Milwaukee,15,Data Scientists,AI SGO Machine Learning Platform Architect,Deloitte,4.0,"Milwaukee, WI",Unknown,Not Remote
11, Wisconsin,Milwaukee,15,Data Scientists,"Data Engineer, Analytics & Cognitive - Consultant (SQL/Python)",Deloitte,4.0,"Milwaukee, WI",Unknown,Not Remote
0, Wisconsin,Milwaukee,17,Nuclear Engineers,Quality Engineer - Aerospace and Defense,SCOT FORGE,3.8,Wisconsin,"From $55,000 a year",Not Remote
1, Wisconsin,Milwaukee,17,Nuclear Engineers,Nuclear Island Test Supervisor - AP1000 Initial Test Program (ITP) Team,BCP Engineers & Consultants,,United States,$70 - $90 an hour,Not Remote
0, Wisconsin,Milwaukee,17,Mechanical Engineering Technicians,Refrigeration Engineering Lab Technician II,Perlick Corporation,3.3,"Milwaukee, WI",Unknown,Not Remote
0, Wisconsin,Milwaukee,19,Medical Scientists,Scientist I Formulation,Thermo Fisher - America,3.5,"Milwaukee, WI",Unknown,Not Remote
1, Wisconsin,Milwaukee,19,Medical Scientists,Sr. Scientist QC - Molecular Biology,Thermo Fisher - America,3.5,"Milwaukee, WI",Unknown,Not Remote
2, Wisconsin,Milwaukee,19,Medical Scientists,Sr. Laboratory Quality Leader,Aerotek,3.7,"Milwaukee, WI",$36.50 an hour,Not Remote
3, Wisconsin,Milwaukee,19,Medical Scientists,Medical Lab Scientist/Medical Technologist - 1st shift,Children's Hospital of Wisconsin,4.2,"Milwaukee, WI",Unknown,Not Remote
4, Wisconsin,Milwaukee,19,Medical Scientists,Lead Medical Lab Scientist (MLS),Ascension,3.7,"Milwaukee, WI",Unknown,Not Remote
5, Wisconsin,Milwaukee,19,Medical Scientists,Medical Lab Scientist (MLS),Ascension,3.7,"Milwaukee, WI",Unknown,Not Remote
6, Wisconsin,Milwaukee,19,Medical Scientists,Clinical Research Assistant II,Medical College of Wisconsin,3.8,"Milwaukee, WI",Unknown,Not Remote
7, Wisconsin,Milwaukee,19,Medical Scientists,"Laboratory Manager, Anatomic Pathology",Ascension,3.7,"Milwaukee, WI",Unknown,Not Remote
8, Wisconsin,Milwaukee,19,Medical Scientists,Clinical Research Assistant I,Medical College of Wisconsin,3.8,"Milwaukee, WI",Unknown,Not Remote
9, Wisconsin,Milwaukee,19,Medical Scientists,Lab Technician III,Medical College of Wisconsin,3.8,"Milwaukee, WI",Unknown,Not Remote
10, Wisconsin,Milwaukee,19,Medical Scientists,Associate Laboratory Technologist - Molecular Oncology and Genetics,BloodCenter of Wisconsin,3.3,"Milwaukee, WI",Unknown,Not Remote
11, Wisconsin,Milwaukee,19,Medical Scientists,Cytology Technologist,Ascension,3.7,"Milwaukee, WI",Unknown,Not Remote
