,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Wyoming,Cheyenne,11,Facilities Manager,"Director of Facilities - Relocation assistance to Yuma, AZ",Yuma Regional Medical Center,3.8,United States,"$110,000 - $150,000 a year",Not Remote
1, Wyoming,Cheyenne,11,Facilities Manager,Part Time Facility Manager,KO Storage,,"Cheyenne, WY",From $17 an hour,Not Remote
2, Wyoming,Cheyenne,11,Facilities Manager,Maintenance Manager 13.00-14.00 per hour,Quality Inn,3.3,"Cheyenne, WY",$12 - $13 an hour,Not Remote
0, Wyoming,Cheyenne,19,Medical Scientists,Laboratory Compliance Officer,Baptist Health South Florida,4.2,United States,Unknown,Not Remote
1, Wyoming,Cheyenne,19,Medical Scientists,Allied Health job: Clinical Lab Scientist / CLS,McCallandLee,,"Cheyenne, WY",Unknown,Not Remote
0, Wyoming,Cheyenne,21,Counselor,"Therapist or Clinical Social Worker - Sheridan, Buffalo, Newcastle, WY",Northern Wyoming Mental Health Center,,Wyoming,Unknown,Not Remote
1, Wyoming,Cheyenne,21,Counselor,Counselor T1 MFLC On-Call,Leidos,3.7,"Cheyenne, WY",Unknown,Remote
2, Wyoming,Cheyenne,21,Counselor,School Counselor - Teletherapy Wyoming - Work from Home!,Global Teletherapy,3.9,Wyoming,Unknown,Remote
3, Wyoming,Cheyenne,21,Counselor,YOUTH MENTOR/COUNSELOR at Meadowlark Academy,"Rite of Passage, Inc.",2.8,"Cheyenne, WY",Unknown,Not Remote
4, Wyoming,Cheyenne,21,Counselor,Counselor T3 MFLC On-Call,Leidos,3.7,"Cheyenne, WY",Unknown,Remote
5, Wyoming,Cheyenne,21,Counselor,Utilization Clinical Manager,KePRO,2.9,"Cheyenne, WY",Unknown,Not Remote
6, Wyoming,Cheyenne,21,Counselor,Counselor T2 MFLC On-Call,Leidos,3.7,"Cheyenne, WY",Unknown,Remote
7, Wyoming,Cheyenne,21,Counselor,Mental Health Clinician,North Range Behavioral Health,3.5,"Cheyenne, WY","From $41,330 a year",Not Remote
8, Wyoming,Cheyenne,21,Counselor,Counselor T1 MFLC On-Call,Leidos,3.7,"Cheyenne, WY",Unknown,Remote
